Species	C2	C3	Y1	Y2	Y3
Homo_sapiens	110	35	984	1247	1601
Intestinimonas_butyriciproducens	2406	1374	39	68	59
Faecalimonas_umbilicata	19	4	3307	257	358
Flavonifractor_plautii	1388	1702	198	225	416
Alistipes_ihumii	1113	2480	0	48	0
Odoribacter_splanchnicus	2966	501	0	45	94
Wujia_chipingensis	26	397	108	2805	249
Carjivirus_communis	0	0	0	0	3556
Simiaoa_sunii	132	144	510	1175	1502
Bifidobacterium_catenulatum	4	5	5	18	3237
Romboutsia_ilealis	10	4	1124	71	1870
Anaerotruncus_colihominis	763	1780	78	175	276
Collinsella_stercoris	6	30	2410	123	199
Segatella_copri	636	16	3	2018	1
Roseburia_intestinalis	144	131	532	1007	849
Blautia_hansenii	53	48	1824	280	406
Ruminococcus_bicirculans_(ex_Wegman_et_al._2014)	14	594	74	1166	684
Bifidobacterium_adolescentis	5	22	3	19	2465
Faecalibacterium_duncaniae	1079	206	100	565	493
Blautia_producta	56	26	749	742	796
Eubacterium_ramulus	12	23	183	1528	575
Enterocloster_asparagiformis	207	1893	73	53	65
Paraprevotella_clara	21	22	0	2221	2
Bacteroides_xylanisolvens	100	839	18	276	1032
Phocaeicola_dorei	268	184	26	1070	688
Sellimonas_catena	115	326	441	742	609
Bilophila_wadsworthia	801	1139	19	85	166
Lachnospira_eligens	9	53	360	308	1454
Alistipes_indistinctus	1179	806	1	13	161
Faecalibacterium_sp._I3-3-33	537	649	119	319	454
Schaalia_odontolytica	13	69	1130	528	317
Enterocloster_bolteae	57	1038	308	117	495
Enterocloster_clostridioformis	85	174	498	206	983
unclassified	338	256	513	453	382
Dysosmobacter_welbionis	812	733	93	132	171
Bacteroides_fragilis	197	350	10	44	1231
Bacteroides_thetaiotaomicron	408	678	49	94	601
Faecalibacterium_sp._I4-1-79	475	388	160	201	415
Raoultibacter_timonensis	36	163	33	1212	162
Limosilactobacillus_mucosae	0	0	58	1535	3
Bacteroides_cellulosilyticus	125	96	0	1028	329
Faecalibacterium_taiwanense	402	359	123	206	475
Streptococcus_mitis	1	0	1259	141	148
Roseburia_rectibacter	6	13	194	1137	191
Streptococcus_oralis	7	3	1081	336	103
Streptococcus_parasanguinis	0	0	509	912	43
Subdoligranulum_variabile	132	458	237	226	376
Bacteroides_ovatus	57	141	25	961	182
Oscillibacter_hominis	688	515	27	92	36
uncultured_Subdoligranulum_sp.	141	442	218	202	318
Faecalibacterium_hominis_(ex_Afrizal_et_al._2022)	662	46	31	403	113
Faecalibacterium_sp._IP-3-29	624	79	46	422	83
Bacteroides_caccae	410	526	27	216	48
Weissella_confusa	0	1	2	66	1118
Megasphaera_stantonii	8	1101	5	2	1
Eubacterium_ventriosum	15	21	648	221	202
Thomasclavelia_ramosa	44	7	234	179	625
Clostridium_sp._M62/1	142	414	212	86	232
Streptococcus_sanguinis	5	1	622	345	105
[Clostridium]_innocuum	122	195	181	208	346
Lawsonibacter_asaccharolyticus	514	377	7	55	94
Ligilactobacillus_salivarius	9	0	1021	8	4
Bacteroides_hominis	953	37	0	13	17
Faecalibacterium_sp._I3-3-89	327	204	69	123	289
Schaalia_sp._HMT-172	3	114	502	333	53
Pusillibacter_faecalis	562	229	43	59	91
Faecalibacterium_sp._i21-0019-B1	279	497	54	50	102
Coprococcus_sp._ART55/1	15	11	294	275	373
Mediterraneibacter_glycyrrhizinilyticus	42	14	137	384	371
Flintibacter_sp._KGMB00164	332	267	139	91	109
Gordonibacter_urolithinfaciens	8	56	75	39	755
Blautia_hydrogenotrophica	52	63	59	648	93
Cloacibacillus_evryensis	40	814	0	7	0
Hungatella_hathewayi	102	227	116	114	287
Faecalibacterium_sp._I4-3-84	232	199	62	236	86
Hungatella_sp._SB206	56	41	97	63	553
Eubacterium_callanderi	33	74	233	91	378
Eubacterium_limosum	10	19	1	6	760
Oscillibacter_sp._PEA192	438	221	10	71	53
Pseudoflavonifractor_gallinarum	328	325	9	46	61
Diaphorobacter_sp._MNS-0	0	765	0	0	0
Bifidobacterium_dentium	7	2	67	111	574
Bacteroides_salyersiae	85	89	22	36	506
Eisenbergiella_porci	167	161	121	117	171
Roseburia_sp._831b	2	13	258	278	177
Wansuia_hejianensis	13	57	139	354	161
Adlercreutzia_hattorii	7	126	4	35	542
Actinomyces_sp._oral_taxon_414	66	13	220	334	58
Sellimonas_intestinalis	15	15	210	103	343
Carjivirus_hominis	0	0	0	0	675
Bacteroides_intestinalis	304	205	0	143	14
Enterobacter_roggenkampii	602	23	0	0	39
Faecalibacterium_sp._I2-3-92	402	34	5	183	37
Faecalibacterium_sp._i25-0019-C1	67	34	238	60	260
Coprococcus_eutactus	28	11	92	196	326
Romboutsia_sp._13368	2	0	218	5	420
Arachnia_propionica	2	5	476	73	85
Owariibacterium_komagatae	216	206	45	90	70
Streptococcus_vestibularis	0	0	370	215	41
Streptococcus_thermophilus	0	0	235	291	77
Methanobrevibacter_smithii	592	3	0	0	0
Actinomyces_naeslundii	4	14	384	119	56
[Eubacterium]_hominis	170	126	77	70	133
Campylobacter_jejuni	1	7	368	94	104
Phascolarctobacterium_succinatutens	4	9	48	466	37
Granulicatella_adiacens	0	0	346	68	138
Blautia_parvula	3	13	168	99	259
Eubacterium_sp._MSJ-33	51	47	66	308	69
Bifidobacterium_breve	8	7	66	6	445
Olsenella_timonensis	31	113	54	21	310
Streptococcus_sp._FDAARGOS_192	0	0	210	270	39
Bacteroides_humanifaecis	84	389	0	4	26
Streptococcus_gordonii	0	1	252	109	124
Blautia_argi	1	1	273	113	97
Olsenella_sp._oral_taxon_807	15	15	127	290	36
Propionibacterium_acidifaciens	6	58	101	304	11
Faecalibacterium_sp._7	62	73	150	91	103
Eggerthella_guodeyinii	1	45	145	66	202
Butyricimonas_virosa	89	208	0	10	150
Mogibacterium_diversum	2	0	205	222	24
Klebsiella_variicola	423	14	0	0	12
Amedibacterium_intestinale	5	5	209	13	201
Alistipes_sp._i18-0019-D1	78	301	0	11	24
Marvinbryantia_formatexigens	26	41	105	135	107
Butyricicoccus_porcorum	43	90	107	35	137
Kluyvera_sp._CRP	0	407	0	0	0
Bacteroides_sp._A1C1	55	288	0	7	41
Longicatena_caecimuris	0	2	10	363	16
Kluyvera_genomosp._3	0	389	0	0	0
Blautia_pseudococcoides	10	9	124	128	115
Kluyvera_ascorbata	2	382	0	0	0
Enterococcus_faecium	34	15	191	94	44
Slackia_heliotrinireducens	36	54	8	29	240
Faecalibacterium_wellingii	85	55	28	150	47
Bacteroides_sp._HF-162	128	170	0	40	23
Christensenella_massiliensis	92	78	115	26	48
Claveliimonas_bilis	17	22	110	156	49
Holdemania_massiliensis	10	217	22	51	50
Phascolarctobacterium_faecium	33	274	28	8	2
Turicibacter_bilis	0	0	316	1	21
Streptococcus_mutans	0	0	137	185	4
Lactonifactor_longoviformis	9	10	24	175	103
Butyricimonas_paravirosa	118	183	1	1	14
Ruminococcus_champanellensis	71	114	5	93	32
Faecalibacterium_sp._IP-1-18	111	105	7	49	39
Gemella_sanguinis	5	0	130	85	89
Megasphaera_sp.	0	0	0	2	306
[Clostridium]_hylemonae	32	67	34	78	97
Gordonibacter_pamelaeae	10	29	11	147	97
Enterocloster_lavalensis	66	138	31	30	27
Actinomyces_oris	0	9	165	79	38
[Clostridium]_symbiosum	21	52	40	56	122
Sellimonas_caecigallum	3	18	47	138	84
Streptococcus_cristatus	0	1	63	212	11
Enorma_phocaeensis	5	54	122	40	64
Lactiplantibacillus_plantarum	0	0	0	4	281
Megamonas_funiformis	4	0	4	3	270
Rothia_mucilaginosa	6	15	165	27	66
Bifidobacterium_bifidum	4	0	3	4	262
Roseburia_sp._499	11	10	47	131	74
Bacteroides_sp._CACC_737	50	188	0	2	32
Lactococcus_garvieae	0	1	0	2	269
Streptococcus_pneumoniae	3	2	199	38	23
Agathobaculum_sp._NTUH-O15-33	63	137	31	20	12
Intestinibacter_bartlettii	15	14	106	98	28
Paraprevotella_xylaniphila	9	14	1	229	2
Eshraghiella_crossota	24	25	40	97	68
uncultured_Mailhella_sp.	94	152	3	1	4
Parabacteroides_absconsus	197	23	0	1	27
Pyramidobacter_sp._YE332	241	2	0	3	0
Butyricimonas_faecihominis	102	135	0	2	5
Streptococcus_anginosus	4	2	51	139	48
Catenibacterium_mitsuokai	4	3	112	33	88
Gemella_haemolysans	1	0	77	63	96
Burzaovirus_faecalis	236	0	0	0	0
Streptococcus_lingualis	0	0	126	101	9
Burzaovirus_coli	234	0	0	0	0
Massilimicrobiota_timonensis	0	0	21	43	170
uncultured_Alistipes_sp.	93	121	2	6	12
Ruminococcus_gauvreauii	16	16	37	86	73
Limosilactobacillus_reuteri	180	1	19	12	13
Streptococcus_suis	4	0	28	10	182
Alistipes_megaguti	42	161	0	2	17
Corynebacterium_durum	5	7	72	92	45
Solibaculum_mannosilyticum	67	77	20	37	20
Streptococcus_ilei	0	0	41	45	123
Christensenella_sp._MSJ-20	100	81	0	15	8
Acutalibacter_muris	57	59	30	24	33
Barnesiella_sp._An22	19	162	0	4	16
Clostridium_sp._SY8519	15	33	33	76	44
Lactococcus_cremoris	13	0	135	47	6
Parafannyhessea_umbonata	2	66	28	20	84
Qiania_dongpingensis	39	23	57	41	39
Oxalobacter_aliiformigenes	2	187	7	2	0
Actinomyces_israelii	3	12	33	109	39
Burzaovirus_intestinihominis	195	0	0	0	0
Butyrivibrio_fibrisolvens	10	18	40	76	47
Novisyntrophococcus_fermenticellae	3	6	31	73	77
Chordicoccus_furentiruminis	77	48	10	28	26
Streptococcus_sp._LPB0220	0	0	89	88	12
Streptococcus_sp._A12	0	1	57	83	45
Komagataeibacter_oboediens	0	0	90	51	43
Christensenella_minuta	32	110	7	29	5
Intestinibacillus_sp._NTUH-41-i26	14	43	61	27	36
Phascolarctobacterium_sp._Marseille-Q4147	12	118	3	48	0
Butyricimonas_faecalis	64	26	0	85	5
Actinomyces_massiliensis	0	0	87	63	27
Oxalobacter_formigenes	0	36	0	131	8
Bacteroides_zhangwenhongii	32	107	3	26	6
Parabacteroides_chongii	145	3	2	7	17
Parolsenella_massiliensis	3	13	60	19	78
Thermophilibacter_mediterraneus	8	34	60	11	59
Pauljensenia_hongkongensis	0	23	89	39	20
Streptococcus_rubneri	0	0	44	20	105
Streptococcus_sp._FSL_R7-0248	0	0	58	85	18
Bifidobacterium_angulatum	2	1	1	3	152
Segatella_hominis	35	1	0	121	0
Streptococcus_sp._NPS_308	0	0	116	6	35
Actinomyces_sp._oral_taxon_169	0	0	65	79	10
Actinomyces_sp._oral_taxon_897	46	3	31	64	10
Ligilactobacillus_ruminis	9	12	40	38	54
Agathobaculum_massiliense	11	16	1	11	110
Solobacterium_moorei	7	0	95	37	7
Actinomyces_sp._HMT897	37	8	19	55	20
Parolsenella_catena	8	26	23	37	45
Trueperella_pyogenes	19	4	14	6	95
Streptococcus_sp._HSISS2	0	0	56	67	14
Streptococcus_australis	0	0	36	48	52
Anaerostipes_caccae	0	3	40	32	59
Monoglobus_pectinilyticus	3	2	101	10	17
Romboutsia_sp._CE17	0	3	50	9	70
Streptococcus_koreensis	0	0	24	37	71
Streptococcus_pasteurianus	1	8	69	28	25
Ethanoligenens_harbinense	59	53	5	6	6
Streptococcus_sp._ZY1909104	0	3	54	44	26
Kluyvera_georgiana	0	119	0	4	0
Phocaeicola_coprophilus	61	17	1	13	31
Actinomyces_sp._oral_taxon_171	1	0	61	26	34
Campylobacter_coli	78	2	3	25	13
Paraclostridium_sordellii	0	0	15	79	27
Streptococcus_agalactiae	0	0	31	24	66
Lacrimispora_saccharolytica	3	3	11	53	48
Aristaeella_lactis	52	49	1	12	3
Gemella_morbillorum	0	1	34	33	49
Bacteroides_maternus	5	74	4	20	12
Afonbuvirus_intestinihominis	0	0	0	114	0
Atopobium_sp._oral_taxon_416	2	7	35	64	6
Parabacteroides_johnsonii	28	61	4	8	12
Ruminococcus_sp._JE7B6	34	40	1	11	27
Parvimonas_parva	3	0	0	0	108
Schaalia_cardiffensis	2	9	16	63	21
Eubacterium_maltosivorans	40	17	19	6	27
Streptococcus_sp._FSL_W7-1342	0	0	63	37	8
Streptococcus_sp._SN-1	0	0	77	15	15
Selenomonas_sputigena	33	63	2	7	1
Olsenella_uli	2	16	45	27	15
Bacteroides_faecis	35	39	2	10	18
Actinomyces_pacaensis	2	20	58	22	1
Streptococcus_sp._FSL_K6-1323	0	0	59	37	7
Butyricicoccus_sp._GAM44	0	12	67	22	1
Clostridium_sp._MD294	0	1	74	11	16
Klebsiella_aerogenes	97	4	0	0	1
Atlantibacter_hermannii	98	1	0	0	2
Clostridium_cadaveris	4	3	32	21	39
Klebsiella_africana	98	0	0	0	0
Emergencia_sp._JLR.KK010	1	6	47	23	19
Lacrimispora_sp._HJ-01	25	1	16	28	26
Streptococcus_sp._HSISS3	0	0	41	48	7
Streptococcus_gwangjuensis	0	0	77	11	7
Candidatus_Nanosynbacter_sp._HMT-352	0	1	50	26	17
Caproicibacter_fermentans	30	54	6	2	2
Blautia_liquoris	2	2	13	48	28
Streptococcus_sp._Marseille-Q3533	0	0	43	35	15
Streptococcus_sp._oral_taxon_061	0	0	61	23	9
Alistipes_dispar	42	44	0	4	2
Escherichia_albertii	2	83	0	1	6
Arabiibacter_massiliensis	5	11	7	58	10
Aristaeella_hokkaidonensis	30	44	5	9	3
Emergencia_timonensis	8	2	1	22	58
Kineothrix_sedimenti	5	0	18	44	24
Corynebacterium_pyruviciproducens	1	3	6	51	29
Lachnoanaerobaculum_gingivalis	1	1	20	59	9
Bacteroides_nordii	32	20	1	7	28
Lacrimispora_xylanisolvens	11	4	19	27	27
Afonbuvirus_faecalis	0	0	0	87	0
Hominifimenecus_sp._rT4P-3	6	8	10	38	25
Lacrimispora_sinapis	0	2	37	33	14
Weissella_cibaria	0	0	8	5	73
Ruminococcus_sp._JL13D9	9	29	6	9	32
Lacrimispora_xylanolytica	0	1	24	31	27
Pseudobutyrivibrio_xylanivorans	5	8	22	29	19
Klebsiella_quasivariicola	82	0	0	0	0
Streptococcus_sp._K0074	0	0	56	18	8
Actinomyces_sp._HMT_175	0	3	48	19	11
Bacteroides_caecimuris	40	22	0	10	9
Arachnia_rubra	7	1	12	42	18
Comamonas_aquatica	1	77	0	0	2
Limosilactobacillus_fermentum	3	3	20	52	2
Slackia_exigua	18	26	14	21	0
Streptococcus_dentalis	0	0	31	47	0
Streptococcus_sp._KHUD_011	0	0	41	16	21
Phocaeicola_salanitronis	35	14	3	5	20
Fohxhuevirus_gastrointestinalis	0	0	0	76	0
Thermophilibacter_immobilis	25	23	11	10	7
Caproiciproducens_sp._CPB-2	27	24	0	7	17
Escherichia_fergusonii	4	66	0	0	5
Streptococcus_sp._CP1998	0	0	30	32	13
Leuconostoc_lactis	0	0	1	7	66
Berryella_intestinalis	12	19	5	26	9
Butyrivibrio_proteoclasticus	7	3	10	30	21
Butyrivibrio_sp._JL13D10	0	0	17	29	25
Fannyhessea_vaginae	1	0	22	4	44
Klebsiella_michiganensis	47	17	0	2	5
Streptococcus_sp._11-4097	0	0	53	13	5
Eggerthella_sp._YY7918	14	2	0	48	6
Enterobacter_sp._JBIWA005	70	0	0	0	0
Leuconostoc_citreum	0	0	0	0	70
Bifidobacterium_thermophilum	1	21	0	43	4
Catenibacterium_sp._co_0103	0	1	21	23	24
Clostridium_sp._C1	12	5	44	6	1
Caproicibacterium_amylolyticum	9	47	3	7	1
Streptococcus_lactarius	0	0	33	27	7
Anaeromicropila_herbilytica	0	0	27	25	14
Enterococcus_faecalis	0	0	25	15	26
Kineothrix_sp._MB12-C1	3	0	10	38	15
Parvimonas_micra	11	0	12	15	28
Peptostreptococcus_anaerobius	0	1	10	13	42
Actinomyces_viscosus	0	6	15	38	6
Anaerostipes_sp._PC18	3	1	16	29	16
Lactococcus_lactis	1	0	0	23	41
Murdochiella_vaginalis	12	4	15	10	24
Parvimonas_sp._G1604	0	4	0	10	51
Salmonella_enterica	16	29	1	2	17
Xiamenia_xianingshaonis	6	13	2	38	6
Mogibacterium_neglectum	6	10	7	25	16
Parabacteroides_sp._ASD2025	41	11	0	4	8
Fusobacterium_mortiferum	11	0	25	1	26
Schaalia_turicensis	1	0	3	3	56
Anaerocolumna_chitinilytica	0	1	13	33	15
Streptococcus_sp._KHUD_015	0	0	40	15	7
Bacteroides_finegoldii	14	25	2	17	3
Streptococcus_intermedius	0	0	14	24	23
Streptococcus_nidrosiense	0	0	25	32	4
Afonbuvirus_coli	0	0	0	60	0
Astrithrvirus_astrithr	60	0	0	0	0
Lachnoclostridium_phytofermentans	3	1	12	27	17
Limosilactobacillus_allomucosae	0	0	0	59	1
Microbacterium_oxydans	56	2	0	2	0
Peptoniphilus_genitalis	0	0	1	0	59
Streptococcus_infantis	0	0	30	25	5
Streptococcus_sp._DTU_2020_1001019_1_SI_AUS_MUR_006	0	0	29	21	10
Parabacteroides_faecis	39	0	0	5	15
Bengtsoniella_intestinalis	32	20	0	2	4
Anaerocolumna_sp._MB42-C2	1	1	24	21	10
Eubacterium_sp._F2	10	5	7	26	9
Bacteroides_luhongzhouii	6	1	2	30	17
Coriobacterium_glomerans	4	8	35	3	6
Finegoldia_magna	20	0	16	7	13
Gelria_sp._Kuro-4	30	24	0	0	2
Sodaliphilus_pleomorphus	25	16	1	13	0
Streptococcus_acidominimus	0	2	3	50	0
Leptogranulimonas_caecicola	6	19	13	7	9
Romboutsia_hominis	3	0	16	6	29
Abiotrophia_defectiva	0	3	18	19	13
Bacteroides_difficilis	15	17	5	12	4
Clostridium_botulinum	10	2	14	9	18
Enterobacter_cloacae	6	44	0	2	1
Bacteroides_sp._D2	1	3	0	45	3
Citrobacter_portucalensis	6	15	0	0	31
Ihubacter_sp._rT4E-8	10	6	7	19	10
Mageeibacillus_indolicus	32	17	2	1	0
Megasphaera_elsdenii	13	7	2	2	28
Ruminococcus_bovis	2	22	4	8	16
Shigella_flexneri	2	44	0	1	4
Anaerocolumna_sp._AGMB13020	3	1	6	32	8
Berryella_wangjianweii	1	12	1	36	0
Streptococcus_sp._KHUD_014	0	0	27	12	11
Thermocaproicibacter_melissae	24	16	1	4	5
Anaerocolumna_sedimenticola	5	6	10	18	10
Bacteroides_heparinolyticus	38	5	0	0	6
Turicibacter_sp._H121	0	0	46	0	3
Hoylesella_buccalis	3	10	1	4	30
Lacrimispora_sphenoides	0	1	11	26	10
Lancefieldella_parvula	0	1	19	25	3
Phytobacter_sp._SCO41	48	0	0	0	0
Porphyromonas_asaccharolytica	0	0	1	0	47
Streptococcus_gallolyticus	0	0	34	14	0
Anaerostipes_rhamnosivorans	1	0	13	12	21
Barnesiella_viscericola	3	23	0	1	19
Butyrivibrio_hungatei	1	0	10	24	11
Streptococcus_sp._oral_taxon_431	0	0	29	11	6
Achromobacter_xylosoxidans	1	3	12	23	6
Peptoniphilus_lacrimalis	4	1	3	2	35
Schaalia_meyeri	2	3	19	7	14
Thomasclavelia_spiroformis	0	0	20	14	11
Candidatus_Southlakia_epibionticum	0	7	2	23	12
Shigella_dysenteriae	1	39	0	0	4
Veillonella_atypica	0	0	43	0	1
Bacteroides_faecium	16	10	1	11	5
Cupriavidus_taiwanensis	17	22	4	0	0
Stomatobaculum_sp._F0698	18	7	4	11	3
Anaerocolumna_sp._AGMB13025	4	0	7	22	9
Clostridium_sp._10cd*	3	5	24	7	3
Escherichia_marmotae	2	36	0	0	4
Lactobacillus_crispatus	0	0	31	9	2
Streptococcus_constellatus	3	0	16	18	5
Streptococcus_parapneumoniae	0	0	30	6	6
Bacteroides_sp._DH3716P	10	12	0	10	9
Petroclostridium_sp._X23	16	23	1	0	1
Bacteroides_helcogenes	12	16	1	4	7
Lacrimispora_sp._BS-2	1	2	7	19	11
uncultured_Caproiciproducens_sp.	10	15	1	8	6
Rothia_aeria	3	6	21	5	4
Treponema_denticola	14	5	1	13	6
Citrobacter_freundii	2	9	0	2	25
Paraclostridium_bifermentans	0	0	10	14	14
Streptococcus_toyakuensis	0	0	25	6	7
Anaerofustis_stercorihominis	3	2	3	0	29
Intestinibaculum_porci	2	0	10	19	6
Microbacterium_maritypicum	37	0	0	0	0
Granulicatella_elegans	0	0	25	2	9
Ruminococcus_albus	11	10	1	11	3
Streptococcus_parasuis	2	0	10	11	13
Bacteroides_pyogenes	23	5	0	4	3
Defluviitalea_saccharophila	22	6	0	4	3
Klebsiella_oxytoca	27	1	0	5	2
Morganella_morganii	7	25	0	2	1
Anaerocolumna_cellulosilytica	0	0	4	29	1
Denitrobacterium_detoxificans	10	10	3	9	2
Enterobacter_hormaechei	19	10	0	4	1
Escherichia_sp._E4742	0	31	0	0	3
Streptococcus_sp._D7B5	0	0	23	6	5
Allocoprobacillus_halotolerans	0	0	12	12	9
Megasphaera_hexanoica	2	0	8	18	5
Prevotella_intermedia	13	0	0	20	0
Thermobacillus_composti	14	17	0	0	2
Amygdalobacter_indicium	17	0	2	12	1
Bacteroides_sp._M10	3	4	1	22	2
Candidatus_Minimicrobia_sp._QA0096	0	0	17	8	7
Paludihabitans_sp._MB14-C6	4	2	10	10	6
Parascardovia_denticolens	0	5	14	11	2
Symbiobacterium_thermophilum	17	14	0	1	0
Desulforamulus_ruminis	20	5	0	6	0
Reyranella_sp.	7	19	2	2	1
Sutterella_wadsworthensis	4	26	0	0	1
[Clostridium]_colinum	14	4	6	2	5
Bifidobacterium_pseudolongum	9	14	3	2	2
Enterococcus_gilvus	21	0	1	0	8
Herbaspirillum_huttiense	22	8	0	0	0
Pseudoramibacter_alactolyticus	17	6	1	6	0
Selenomonas_ruminantium	5	20	1	3	1
Streptomyces_pratensis	10	20	0	0	0
Weissella_paramesenteroides	1	0	0	1	28
Wulfhauvirus_bangladeshii	0	0	30	0	0
Comamonas_thiooxydans	1	26	2	0	0
Streptococcus_sp._KHUD_016	0	0	13	10	6
Yonseivirus_N137	29	0	0	0	0
Caldinitratiruptor_microaerophilus	8	13	4	3	0
Clostridium_baratii	10	0	3	8	7
Gordonia_otitidis	13	15	0	0	0
Lactococcus_formosensis	0	0	0	0	28
Scardovia_wiggsiae	0	0	13	14	1
Sorangium_cellulosum	10	15	1	1	1
Staphylococcus_aureus	21	2	3	2	0
Treponema_vincentii	6	1	0	1	20
Actinoplanes_teichomyceticus	0	27	0	0	0
Bacteroides_zoogleoformans	19	5	0	0	3
Bifidobacterium_scardovii	7	12	7	1	0
Caproicibacterium_sp._BJN0003	5	11	3	2	6
Lachnoanaerobaculum_umeaense	0	1	5	12	9
Noviherbaspirillum_sp._ST_5-3	3	20	4	0	0
Paenibacillus_macerans	14	7	0	1	5
Pelagibius_sp.	17	9	0	0	1
Porphyromonas_gingivalis	18	4	2	0	3
Streptococcus_equi	3	0	13	5	6
Tannockella_kyphosi	6	1	1	16	3
Terrisporobacter_petrolearius	7	0	5	5	10
Bacteroides_sp._KFT8	1	2	0	20	3
Chondromyces_crocatus	25	0	0	0	1
Lactococcus_petauri	0	0	4	13	9
Microvirga_ossetica	0	20	6	0	0
Paraclostridium_ghonii	0	0	4	12	10
Streptococcus_parauberis	0	0	23	2	1
Candidatus_Nanosynbacter_sp._TM7-008	0	0	13	4	8
Caulobacter_sp._NIBR1757	11	14	0	0	0
Enterococcus_cecorum	0	0	6	11	8
Erysipelatoclostridium_sp._An173	3	0	2	20	0
Fretibacterium_fastidiosum	9	3	1	8	4
Lancefieldella_sp._Marseille-Q7238	4	4	13	4	0
Ramlibacter_sp._MMS24-I3-19	17	6	0	0	2
Thermoanaerobacterium_xylanolyticum	21	0	2	2	0
Bacillus_paralicheniformis	4	4	0	14	2
Clostridium_bornimense	21	0	1	0	2
Enterobacter_cancerogenus	4	19	0	1	0
Gloeobacter_kilaueensis	2	22	0	0	0
Maridesulfovibrio_sp.	11	5	1	2	5
Paenibacillus_sp._FSL_K6-1096	4	6	0	9	5
Paenibacillus_sp._FSL_R7-0345	0	15	0	9	0
Pluralibacter_gergoviae	2	22	0	0	0
Selenomonas_dianae	4	9	5	4	2
Shigella_boydii	0	23	0	0	1
Streptococcus_canis	0	0	5	7	12
Taranisvirus_taranis	7	17	0	0	0
Alkalibacter_rhizosphaerae	16	3	1	0	3
Caloramator_sp._mosi_1	17	4	0	1	1
Clostridium_culturomicium	15	1	0	4	3
Clostridium_sp._HCS.1	3	0	0	12	8
Hymenobacter_canadensis	1	19	0	3	0
Mogibacterium_pumilum	0	0	5	11	7
Nitratidesulfovibrio_liaohensis	11	9	0	3	0
Streptosporangium_sp._'caverna'	8	15	0	0	0
Turicibacter_sanguinis	2	6	4	0	11
uncultured_Ilyobacter_sp.	3	0	6	10	4
Alicyclobacillus_acidocaldarius	4	14	2	1	1
Clostridium_beijerinckii	0	0	5	10	7
Coprobacter_secundus	5	15	0	2	0
Corynebacterium_variabile	5	1	4	0	12
Enterobacter_asburiae	14	5	0	0	3
Flavivirga_eckloniae	0	0	10	0	12
Kluyvera_sichuanensis	1	5	0	5	11
Neomoorella_humiferrea	0	20	0	2	0
