Taxonomy	C1	C2
Agrobacterium tumefaciens	0	0
Agrobacterium virus 7-7-1	0	0
Agrobacterium virus Atuph02	0	0
Agrobacterium virus Atuph03	0	0
Agrobacterium virus Atuph07	0	0
Agrobacterium vitis	0	0
Agrococcus carbonis	0	0
Agrococcus jejuensis	0	0
Agrococcus sp. SGAir0287	0	0
Agromyces aureus	0	0
Agromyces flavus	0	0
Agromyces protaetiae	0	0
Agromyces sp. HY052	0	0
Agromyces sp. KACC 19306	0	0
Agromyces sp. LHK192	0	0
Agromyces sp. MF30-A	0	0
Agropyron mosaic virus	0	0
Agrotis ipsilon multiple nucleopolyhedrovirus	0	0
Agrotis segetum granulovirus	0	0
Agrotis segetum nucleopolyhedrovirus A	0	0
Agrotis segetum nucleopolyhedrovirus B	0	0
Aguacate phlebovirus	0	0
Ahniella affigens	0	0
Aichivirus A	0	0
Aichivirus B	0	0
Aichivirus C	0	0
Aichivirus D	0	0
Aichivirus E	0	0
Ailuropoda melanoleuca polyomavirus 1	0	0
Aimelvirus 2	0	0
Aino orthobunyavirus	0	0
Aiptasia sp. sea anemone associated circular virus	0	0
Akabane orthobunyavirus	0	0
Akkermansia glycaniphila	0	0
Akkermansia muciniphila	0	0
Akodon montensis polyomavirus	0	0
Alagoas vesiculovirus	0	0
Alajuela orthobunyavirus	0	0
Alcaligenes aquatilis	0	0
Alcaligenes faecalis	0	0
Alcanivorax borkumensis	0	0
Alcanivorax dieselolei	0	0
Alcanivorax pacificus	0	0
Alcanivorax sp. N3-2A	0	0
Alcanivorax sp. NBRC 101098	0	0
Alcanivorax xenomutans	0	0
Alcelaphine gammaherpesvirus 1	0	0
Alcelaphine gammaherpesvirus 2	0	0
Alces alces faeces associated circular virus MP65	0	0
Alces alces faeces associated microvirus MP10 5560	0	0
Alces alces faeces associated microvirus MP11 5517	0	0
Alces alces faeces associated microvirus MP12 5423	0	0
Alces alces faeces associated microvirus MP15 5067	0	0
Alces alces faeces associated microvirus MP18 4940	0	0
