CAZy	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
CBM6	269.254	14.0861	0.0	0.0	0.0	188.058	65.0815	0.0	0.0	0.0	0.0	56.351000000000006
CBM66	0.0	0.0	0.0	121.01799999999999	0.0	0.0	0.0	0.0	79.0631	19.9408	0.0	0.0
CBM72	14.3872	0.0	5.45592	0.0	0.0	808.2719999999999	55.619299999999996	0.0	0.0	0.0	0.0	25.6235
CBM73	0.0	0.0	0.0	0.0	0.0	169.53	0.0	0.0	49.2055	0.0	0.0	0.0
CBM9	0.0	26.807	0.0	0.0	0.0	135.52700000000002	0.0	32.9261	0.0	0.0	0.0	0.0
CE1	0.0	19.2371	21.7997	73.75	0.0	94.2436	0.0	0.0	80.565	60.7863	48.4711	0.0
CE11	757.3421999999999	76.52	101.94239	184.82299999999998	1315.601	337.1785	45.0333	111.1475	323.7067	106.45609999999999	449.20259999999996	233.2738
CE12	0.0	81.7833	23.9165	261.0889	0.0	0.0	0.0	0.0	0.0	69.7881	125.506	0.0
CE14	0.0	0.0	0.0	15.9707	0.0	14.3899	18.4865	0.0	63.9015	35.10833	183.18330000000003	0.0
CE15	0.0	22.5621	0.0	0.0	0.0	265.585	0.0	27.7723	0.0	0.0	0.0	0.0
CE16	0.0	0.0	0.0	48.3208	0.0	182.96400000000003	0.0	44.1413	53.5908	0.0	48.3798	139.842
CE3	0.0	7.38892	18.8734	9.03673	0.0	57.8785	0.0	0.0	223.6413	0.0	70.8818	53.3167
CE4	500.932	175.442	125.372	108.4883	531.0881	843.173	139.2197	0.0	109.872	174.3653	283.332	60.6716
CE5	0.0	0.0	0.0	277.681	0.0	0.0	0.0	0.0	43.7062	32.9276	39.4375	0.0
CE7	0.0	0.0	0.0	0.0	0.0	68.5304	29.8186	0.0	85.8061	0.0	25.8194	76.0769
CE8	92.0086	0.0	6.91644	0.0	173.255	44.8147	0.0	0.0	24.1537	0.0	0.0	0.0
CE9	423.01480000000004	57.3047	29.36585	698.8770000000001	795.6715	555.8691000000001	230.59490000000002	46.4505	175.2975	688.7705	570.6045	538.7983
GH0	277.2985	64.1276	52.344030000000004	276.18809999999996	238.653	0.0	349.6278	44.4248	417.30740000000003	191.61700000000002	408.9244	743.4
GH1	310.6748	202.4024	46.2138	450.4188	348.34490000000005	72.3488	226.389	140.841	1696.8602	253.6112	219.44839999999996	1057.3478
GH10	0.0	26.807	0.0	0.0	0.0	230.18110000000001	27.433000000000003	32.9261	26.218000000000004	0.0	70.9554	69.91
GH100	0.0	0.0	0.0	189.165	0.0	0.0	52.7953	0.0	52.443000000000005	197.5687	94.7006	0.0
GH101	0.0	0.0	0.0	0.0	0.0	0.0	146.174	0.0	0.0	145.295	0.0	0.0
GH102	0.0	0.0	30.504399999999997	84.9367	0.0	81.7313	0.0	11.647	156.7606	271.2249	310.346	0.0
GH103	0.0	27.0413	7.745839999999999	388.97049999999996	0.0	45.0892	14.5266	33.478	148.8154	296.9914	138.0084	49.5615
GH109	279.66900000000004	0.0	4.091	32.3202	58.0031	0.0	75.3944	0.0	14.0581	15.982999999999999	114.00399999999999	0.0
GH11	0.0	0.0	18.3887	0.0	0.0	203.25799999999998	0.0	0.0	0.0	0.0	0.0	0.0
GH114	0.0	0.0	0.0	19.5627	219.955	25.95	0.0	0.0	21.3315	493.2763	173.145	0.0
GH12	812.9368	343.39099999999996	196.16833999999997	486.9023	1556.9171999999999	476.27505	232.56456000000003	149.5446	378.99969000000004	367.91101000000003	659.7718	516.2618000000001
GH123	0.0	102.05529999999999	0.0	47.2913	76.7184	1029.6	49.7033	0.0	52.443000000000005	118.541	44.4811	0.0
GH125	0.0	167.0	25.2216	0.0	0.0	56.2037	737.3717000000001	0.0	0.0	105.06700000000001	61.847	312.81
GH13	726.4317999999998	580.14728	217.21882000000005	3027.2992	984.4571	1881.2244	802.2359	241.5447	4498.048	2988.21624	3876.4107999999997	1116.442
GH130	0.0	193.558	0.0	21.2202	36.8739	709.6389999999999	97.4237	0.0	0.0	370.46299999999997	0.0	61.9366
GH133	65.4197	0.0	0.0	64.3389	202.278	0.0	0.0	0.0	66.28710000000001	35.3329	105.505	338.30300000000005
GH144	125.863	0.0	0.0	0.0	0.0	0.0	44.1208	0.0	0.0	0.0	0.0	0.0
GH153	0.0	17.267	0.0	43.8269	0.0	35.5626	0.0	0.0	83.4435	58.564099999999996	215.34300000000002	0.0
GH16	671.4312	227.64784000000003	143.65474	877.4041	0.0	1117.5529999999999	278.75129999999996	11.272	426.61256999999995	520.6267	197.7123	25.6235
GH164	243.25900000000001	0.0	0.0	0.0	0.0	0.0	27.7495	0.0	0.0	0.0	0.0	0.0
GH17	0.0	0.0	0.0	60.6972	0.0	0.0	0.0	5.6870400000000005	501.07710000000003	68.2226	5.40523	0.0
GH18	282.675	220.204	178.468	155.65279999999998	0.0	1187.875	162.2412	125.29610000000001	123.72210000000001	112.33200000000001	192.4995	75.1203
GH19	119.70358	2.40833	133.98587	450.2478	535.10106	334.28848000000005	164.56696	12.83232	961.7300999999999	399.95873	1514.73022	1136.3148999999999
GH2	463.62480000000005	634.5917000000001	216.70578999999995	599.1467	666.8646000000001	2871.388	826.7223	65.89783	365.26189999999997	185.47500000000002	571.2591699999999	348.9972
GH20	1286.6082999999999	133.6	83.26333	116.33	603.6420999999999	1375.723	905.2955999999998	16.8734	75.7952	198.4995	194.2414	1179.3853
GH23	1532.2616	725.1872999999999	439.63249999999994	2117.3590999999997	1496.6488000000002	3693.2601099999993	598.3909	600.4318	2250.905	2172.781900000001	1779.8969000000002	2297.4680000000003
GH24	229.329	0.0	0.0	303.6634	0.0	230.24200000000002	0.0	0.0	0.0	623.2942	0.0	131.46
GH25	0.0	67.9921	42.2252	21.678	0.0	701.239	24.8606	0.0	122.333	71.4317	378.49	0.0
GH26	3185.9004000000004	72.39882000000001	289.69246999999996	729.8616000000001	2560.9902999999995	111.4894	275.04359999999997	431.11819999999994	744.9213000000001	371.05039999999997	161.7923	910.8773000000001
GH28	562.79	311.7049	77.39441	720.6978000000001	334.978	299.7408	167.1966	108.9279	642.3672	662.01285	359.6147	670.0659
GH29	44.2954	27.2208	0.0	135.7104	92.061	809.2875000000001	120.96950000000001	58.883799999999994	248.189	283.12669999999997	51.321	225.56650000000002
GH3	867.2552	6.37666	45.86139	271.9048	545.0025999999999	412.87919999999997	322.9729	194.62269999999998	1440.0071000000003	531.46722	1254.4680999999998	326.1749
GH31	0.0	0.0	0.0	45.3104	0.0	692.3085	96.95859999999999	30.5724	134.3982	0.0	0.0	0.0
GH32	122.26689999999999	78.32878	74.0399	404.3882	820.577	2103.1673	767.6700000000001	53.6567	795.6220999999999	792.89589	1190.8498000000002	796.5352
GH33	0.0	0.0	82.0086	36.9238	266.715	411.2716	102.37180000000001	18.840999999999998	81.2313	30.6094	36.6549	213.951
GH35	0.0	0.0	22.89009	98.7106	75.283	446.496	588.9073	50.879	13.5899	0.0	174.282	33.7832
GH37	0.0	0.0	0.0	159.0861	0.0	54.4566	20.7527	20.0881	235.8877	221.27820000000003	406.7034	186.4602
GH38	0.0	23.818	0.0	113.42590000000001	372.377	62.4099	596.7581	0.0	72.4048	294.6676	23.3694	402.602
GH39	0.0	0.0	0.0	105.23	0.0	90.3512	0.0	0.0	0.0	0.0	0.0	203.174
GH4	0.0	0.0	52.00028999999999	127.3908	128.05700000000002	15.2708	56.9082	0.0	120.6995	159.5711	556.2829	90.7914
GH42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184.857	0.0	166.921	0.0
GH43	425.1417	90.02340000000001	260.02176	706.6571	423.1903	540.7396	285.9736	168.8452	638.8131	799.7225999999999	1182.8692	363.43319999999994
GH47	204.399	0.0	8.455630000000001	81.0718	23.7418	0.0	0.0	0.0	58.7422	132.934	66.45779999999999	200.88400000000001
GH5	0.0	16.1053	15.7441	62.182	0.0	188.753	0.0	0.0	0.0	0.0	413.97400000000005	77.0152
GH51	107.625	228.44740000000002	8.0349	255.37859999999998	90.0251	17.4005	15.0813	0.0	188.9172	388.4156	325.2386	0.0
GH55	245.6094	0.0	61.15107	257.2234	184.3177	39.4454	18.2025	0.0	153.524	363.0313	348.36490000000003	237.2449
GH57	0.0	0.0	26.6518	94.5825	162.757	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GH6	371.7738	24.8611	123.87621	705.9581	362.5518	283.5509	368.93452	96.4699	1083.033	728.95521	628.7076	847.4358000000001
GH65	252.375	38.1943	4.97288	457.2047	0.0	0.0	0.0	43.14915	438.9158	477.35620000000006	96.7596	23.3111
GH66	165.99099999999999	12.8094	61.45399	312.2188	57.7869	1216.7930000000001	37.7232	0.0	397.1884	54.82899999999999	16.3431	188.4033
GH70	0.0	0.0	10.0315	93.8749	0.0	21.8273	0.0	16.2219	53.5059	26.955	172.89839999999998	0.0
GH72	276.275	23.1815	101.157	219.232	505.9053	291.19100000000003	379.68269999999995	48.0205	340.3904	342.3242	196.1515	117.736
GH73	1135.9859	21.4262	73.1738	451.4739	726.546	1769.99507	1296.70698	68.49	347.1011	1166.4091999999998	84.10842	390.5833
GH75	0.0	0.0	19.9083	0.0	0.0	0.0	0.0	0.0	123.829	0.0	0.0	0.0
GH76	213.1	0.0	15.1911	0.0	44.3119	0.0	29.0984	0.0	0.0	21.0326	25.1578	0.0
GH77	98.7122	335.2093	221.9521	672.8763	321.58000000000004	302.2827	278.7529	0.0	885.2176	472.55573999999996	827.1833000000001	1168.3271
GH78	49.4991	21.4262	16.3349	45.3759	205.428	388.101	0.0	0.0	241.2217	98.4412	136.22	245.84150000000002
GH8	0.0	0.0	0.0	73.8476	0.0	0.0	0.0	0.0	0.0	61.2187	0.0	0.0
GH84	235.097	0.0	22.7153	144.96200000000002	0.0	414.497	99.3963	0.0	0.0	91.7262	48.3798	0.0
GH85	78.0177	0.0	73.0326	0.0	0.0	990.2719999999999	51.7435	42.4256	0.0	13.4775	46.3669	0.0
GH87	0.0	0.0	7.30768	135.3324	0.0	301.857	0.0	0.0	90.9117	87.99690000000001	142.0841	0.0
GH92	235.097	0.0	261.6441	0.0	121.809	3661.72	228.6988	30.5724	0.0	312.899	26.8775	325.6762
GH95	683.3347000000001	0.0	74.0968	56.2407	117.4124	591.3078999999999	151.436	101.80180000000001	15.3171	56.092699999999994	138.03799999999998	41.2938
GH97	1090.81	0.0	0.0	76.5217	66.2446	234.65	51.7435	0.0	0.0	63.4692	0.0	0.0
GH99	98.11	0.0	32.0057	115.585	295.998	399.25419999999997	0.0	87.9654	101.5701	82.2964	239.403	0.0
GT0	308.1099	0.0	97.5438	174.73129	522.2924	1130.926	164.8917	29.3218	121.5321	227.00979999999998	193.22866	162.5181
GT1	637.2130999999999	114.583	67.08485999999999	432.2159	573.229	144.5193	15.7843	0.0	604.3886	397.7373	507.68449999999996	468.5856
GT104	0.0	30.4635	23.3193	57.5639	0.0	0.0	0.0	0.0	83.6862	15.8047	0.0	56.0891
GT107	0.0	0.0	33.037910000000004	724.3809	0.0	0.0	51.7435	22.4498	415.4810999999999	225.2011	54.4793	0.0
GT11	390.088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GT13	320.0877	27.367839999999998	65.59129	384.2236000000001	502.9873	306.6091	171.7053	60.469300000000004	1083.4317	511.7338000000001	530.8564	395.6485
GT17	0.0	0.0	0.0	30.9064	0.0	0.0	0.0	0.0	0.0	153.247	0.0	0.0
GT19	610.7982	19.6834	50.82986999999999	275.124	596.1725	111.083	255.65550000000002	25.1351	426.8411	174.88009999999997	428.79510000000005	413.09580000000005
GT2	5200.0514	568.93955	1037.4461800000001	6937.7029999999995	4299.5626	6683.5754	2499.8211100000003	844.3206	6368.385	6131.93169	5686.91779	3202.0589
GT20	0.0	19.2371	0.0	0.0	0.0	258.209	0.0	0.0	0.0	0.0	0.0	0.0
GT22	214.38400000000001	0.0	12.4436	327.76020000000005	0.0	91.9222	24.6084	20.0881	1319.3052000000002	355.1211	829.7236	122.6473
GT25	0.0	0.0	0.0	215.8198	1249.28	225.4585	0.0	34.5803	882.5208	1062.3357	1240.8534999999997	51.2724
GT26	0.0	103.855	52.3167	23.1762	0.0	0.0	0.0	22.4498	50.6109	0.0	333.245	88.2076
GT27	0.0	35.2553	0.0	195.083	0.0	145.836	33.5815	15.5078	93.2303	286.37789999999995	102.14581	114.79299999999999
GT28	705.888	31.5056	59.636309999999995	815.0976299999998	1232.5683	721.3095000000001	1063.8162999999997	52.27584	926.7053399999999	1841.7571	744.42477	458.8389
GT3	255.71900000000002	0.0	0.0	0.0	0.0	334.48299999999995	74.5666	15.5078	0.0	0.0	0.0	0.0
GT30	461.2251	100.3406	111.97316000000001	840.7462999999999	1035.4387000000002	378.3765	152.07569999999998	126.9313	541.5088	966.8379000000001	1075.1970000000001	629.9889000000001
GT32	126.18799999999999	86.71119999999999	63.67297	172.67329999999998	195.255	497.978	155.6171	11.272	125.3869	180.35940000000002	0.0	239.37400000000002
GT35	739.9150000000001	1099.8190700000002	259.52248000000003	1329.3049000000003	4814.1278999999995	1826.6670000000001	2211.4963	1090.8685	2153.8359	825.1862000000001	784.2787	2727.7598000000003
GT39	260.589	0.0	11.6596	0.0	49.5225	0.0	0.0	0.0	135.4329	47.080600000000004	171.6389	0.0
GT4	3526.9009000000005	1010.88779	1256.5356900000002	3853.02147	4613.269900000001	1497.0799	2508.9458	683.89741	3796.8169000000007	4879.134789999999	4210.89093	2858.6931
GT41	399.6410000000001	61.60265	48.5948	384.7329	148.2977	83.3275	92.03020000000001	17.7279	252.04039999999998	878.2252	525.2544	840.7860000000001
GT42	0.0	15.6539	0.0	19.7536	0.0	26.1965	0.0	0.0	0.0	0.0	116.565	115.448
GT47	563.1635	111.12110000000001	82.1959	255.73732	485.8619	643.0647000000001	437.3960000000001	109.34700000000001	89.36886999999999	396.1993	745.7404	1372.4007
GT49	217.317	0.0	11.3539	37.3042	64.816	0.0	43.0118	0.0	20.3333	15.3626	0.0	0.0
GT5	332.52180000000004	24.5014	15.505629999999998	505.6828	2487.3738000000003	0.0	848.4857999999999	81.999	707.7750000000001	358.41280000000006	985.3729999999999	443.3927
GT51	1133.5328	447.43448	459.24397000000005	3619.8264999999997	2391.6872	1183.1913	672.00039	456.0441	1466.6163000000004	3528.855870000001	2043.3082	1111.5337
GT52	0.0	0.0	0.0	31.3733	0.0	0.0	0.0	0.0	0.0	129.68	0.0	0.0
GT6	390.088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GT61	59.7713	27.2208	0.0	35.6749	123.78200000000001	0.0	0.0	0.0	84.7068	21.3021	137.33180000000002	103.234
GT66	125.53	14.0861	10.7852	272.2268	231.6516	118.529	89.0805	23.4513	99.74780000000001	309.8575	128.91449999999998	428.8737
GT68	659.5609999999999	0.0	57.6565	0.0	88.2247	228.593	0.0	0.0	0.0	0.0	51.7699	286.116
GT7	0.0	20.0454	5.13088	8.15188	0.0	11.0339	0.0	0.0	26.6039	26.872	39.9541	24.0665
GT71	0.0	0.0	66.9732	110.715	0.0	0.0	0.0	0.0	62.0342	0.0	0.0	0.0
GT77	223.735	51.2139	93.3822	546.6587000000001	634.544	216.8048	173.7802	63.5551	239.4328	306.6557	236.2566	377.0779
GT8	293.20140000000004	299.79449	75.4149	377.52450000000005	408.29959999999994	348.2901	237.05859999999998	15.2018	585.8495	281.27776	1212.9207000000001	637.2591
GT80	0.0	19.6834	0.0	0.0	43.7548	0.0	0.0	0.0	0.0	166.15	0.0	0.0
GT83	199.41299999999998	0.0	0.0	32.8722	242.672	169.34	22.9478	0.0	298.81100000000004	27.1775	660.391	58.2904
GT87	0.0	18.0031	0.0	133.6339	0.0	0.0	0.0	0.0	92.56200000000001	72.6522	1257.4935	0.0
GT9	1531.0511	93.28179999999999	221.36383	1654.8812	1455.7497000000003	1248.3535	519.2155	144.5692	1556.8278000000003	3206.102900000001	1461.7786	870.7417
GT96	0.0	0.0	0.0	108.838	0.0	0.0	0.0	33.967	0.0	0.0	0.0	0.0
PL0	14.6428	0.0	37.5934	105.4493	214.632	289.351	0.0	0.0	70.1467	97.6852	99.2758	219.51139999999998
PL1	0.0	0.0	3.54146	78.1139	0.0	0.0	6.56252	0.0	90.9897	87.3802	16.3971	0.0
PL11	0.0	128.817	0.0	42.7942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PL12	223.63400000000001	0.0	11.6596	0.0	66.6788	0.0	0.0	0.0	0.0	0.0	0.0	56.0891
PL31	0.0	0.0	0.0	73.0531	0.0	0.0	0.0	0.0	66.2886	60.1865	0.0	0.0
PL8	0.0	0.0	15.3703	25.8373	0.0	0.0	0.0	0.0	192.706	106.51100000000001	0.0	0.0
