SampleID	Group
Mx_All_541	Bacillota_B
Mx_All_542	Planctomycetota
Mx_All_543	Bacillota
Mx_All_544	Bacillota_G
Mx_All_545	Bacillota
Mx_All_546	Bacteroidota
Mx_All_547	Bacillota
Mx_All_548	Bacillota_G
Mx_All_549	Pseudomonadota
Mx_All_55	Pseudomonadota
Mx_All_550	Pseudomonadota
Mx_All_551	Bacillota
Mx_All_552	Pseudomonadota
Mx_All_553	Pseudomonadota
Mx_All_554	Verrucomicrobiota
Mx_All_555	Pseudomonadota
Mx_All_556	Bacillota
Mx_All_557	Verrucomicrobiota
Mx_All_558	Pseudomonadota
Mx_All_559	Pseudomonadota
Mx_All_56	Planctomycetota
Mx_All_560	Bacillota
Mx_All_561	Bacillota_G
Mx_All_562	Bacillota
Mx_All_563	Bacillota_G
Mx_All_564	Gemmatimonadota
Mx_All_565	Bdellovibrionota
Mx_All_567	Bacillota_A
Mx_All_569	Pseudomonadota
Mx_All_57	Bacillota_G
Mx_All_570	Bacillota
Mx_All_571	Bacillota_G
Mx_All_574	Pseudomonadota
Mx_All_577	Fibrobacterota
Mx_All_578	Bacillota
Mx_All_579	Pseudomonadota
Mx_All_58	Planctomycetota
Mx_All_580	Bacillota_A
Mx_All_582	Pseudomonadota
Mx_All_584	Bdellovibrionota
Mx_All_585	Bdellovibrionota
Mx_All_587	Deferribacterota
Mx_All_588	Acidobacteriota
Mx_All_589	Myxococcota
Mx_All_59	Bacillota_D
Mx_All_590	Myxococcota
Mx_All_591	Bacillota_G
Mx_All_6	Bacillota
Mx_All_60	Pseudomonadota
Mx_All_61	Myxococcota
Mx_All_62	Bacillota
Mx_All_63	Bacillota_A
Mx_All_64	Bacillota_G
Mx_All_65	Bacteroidota
Mx_All_66	Bacillota
Mx_All_67	Bacillota_G
Mx_All_68	Actinomycetota
Mx_All_69	Pseudomonadota
Mx_All_7	Chloroflexota
Mx_All_70	Bacillota_G
Mx_All_71	Pseudomonadota
Mx_All_72	Bacillota_G
Mx_All_73	Cyanobacteriota
Mx_All_74	Bacteroidota
Mx_All_75	Bacillota_G
Mx_All_76	Patescibacteria
Mx_All_77	Bdellovibrionota
Mx_All_78	Bacillota
Mx_All_79	Bacillota_A
Mx_All_8	Pseudomonadota
Mx_All_80	Bacillota_I
Mx_All_81	Bacillota_G
Mx_All_82	Gemmatimonadota
Mx_All_83	Bacillota
Mx_All_84	Bacillota_D
Mx_All_85	Chloroflexota
Mx_All_86	Bacteroidota
Mx_All_87	Verrucomicrobiota
Mx_All_88	Bacteroidota
Mx_All_89	Pseudomonadota
Mx_All_9	Patescibacteria
Mx_All_90	Bacillota_A
Mx_All_91	Patescibacteria
Mx_All_92	Bacteroidota
Mx_All_93	Bacillota_A
Mx_All_94	Gemmatimonadota
Mx_All_95	Bacillota_G
Mx_All_96	Myxococcota
Mx_All_97	Bacillota_G
Mx_All_98	Bacillota_A
Mx_All_99	Bacillota
