# Gene Family	C1_Abundance-RPKs
K00790|g__Fusobacterium.s__Fusobacterium_nucleatum	11.092
K00791	12.307
K00791|g__Fusobacterium.s__Fusobacterium_nucleatum	3.695
K00791|g__Prevotella.s__Prevotella_nigrescens	8.613
K00793	16.52
K00793|g__Fusobacterium.s__Fusobacterium_nucleatum	12.567
K00793|g__Prevotella.s__Prevotella_nigrescens	3.953
K00794	27.489
K00794|g__Filifactor.s__Filifactor_alocis	8.152
K00794|g__Fusobacterium.s__Fusobacterium_nucleatum	19.337
K00796	24.552
K00796|g__Fusobacterium.s__Fusobacterium_nucleatum	24.552
K00800	12.06
K00800|g__Fusobacterium.s__Fusobacterium_nucleatum	5.133
K00800|g__Prevotella.s__Prevotella_nigrescens	6.927
K00805	23.75
K00805|g__Fusobacterium.s__Fusobacterium_nucleatum	23.75
K00806	18.164
K00806|g__Fusobacterium.s__Fusobacterium_nucleatum	11.804
K00806|g__Prevotella.s__Prevotella_nigrescens	6.359
K00812	11.861
K00812|g__Filifactor.s__Filifactor_alocis	5.484
K00812|g__Fusobacterium.s__Fusobacterium_nucleatum	6.377
K00820	15.57
K00820|g__Fusobacterium.s__Fusobacterium_nucleatum	11.001
K00820|g__Prevotella.s__Prevotella_nigrescens	4.57
K00826	2.188
K00826|g__Prevotella.s__Prevotella_nigrescens	2.188
K00831	19.228
K00831|g__Prevotella.s__Prevotella_nigrescens	13.386
K00831|unclassified	5.842
K00833	12.893
K00833|g__Fusobacterium.s__Fusobacterium_nucleatum	12.893
K00837	12.801
K00837|g__Fusobacterium.s__Fusobacterium_nucleatum	12.801
K00845	16.476
K00845|g__Fusobacterium.s__Fusobacterium_nucleatum	16.476
K00847	16.904
K00847|g__Prevotella.s__Prevotella_nigrescens	5.057
K00847|unclassified	11.847
K00849	19.595
K00849|g__Fusobacterium.s__Fusobacterium_nucleatum	19.595
K00850	12.647
K00850|g__Filifactor.s__Filifactor_alocis	2.317
K00850|g__Fusobacterium.s__Fusobacterium_nucleatum	10.33
K00852	2.5
K00852|g__Filifactor.s__Filifactor_alocis	2.5
K00857	18.861
K00857|g__Filifactor.s__Filifactor_alocis	8.147
K00857|unclassified	10.714
K00858	15.592
K00858|g__Filifactor.s__Filifactor_alocis	2.841
K00858|g__Fusobacterium.s__Fusobacterium_nucleatum	12.751
K00859	4.228
K00859|g__Fusobacterium.s__Fusobacterium_nucleatum	4.228
K00864	13.624
K00864|g__Fusobacterium.s__Fusobacterium_nucleatum	13.624
K00873	1.213
K00873|g__Filifactor.s__Filifactor_alocis	1.213
K00876	2.616
K00876|g__Filifactor.s__Filifactor_alocis	2.616
K00878	1.464
K00878|g__Gemella.s__Gemella_morbillorum	1.464
K00882	15.529
K00882|g__Fusobacterium.s__Fusobacterium_nucleatum	15.529
K00891	11.933
K00891|g__Fusobacterium.s__Fusobacterium_nucleatum	11.933
K00912	4.42
K00912|g__Fusobacterium.s__Fusobacterium_nucleatum	4.42
K00919	17.831
K00919|g__Fusobacterium.s__Fusobacterium_nucleatum	17.831
K00925	16.408
K00925|g__Fusobacterium.s__Fusobacterium_nucleatum	16.408
K00926	2.401
K00926|g__Filifactor.s__Filifactor_alocis	2.401
K00927	18.048
K00927|g__Filifactor.s__Filifactor_alocis	1.833
K00927|g__Fusobacterium.s__Fusobacterium_nucleatum	13.608
K00927|g__Prevotella.s__Prevotella_nigrescens	2.606
K00928	0.853
K00928|g__Filifactor.s__Filifactor_alocis	0.853
K00930	1.279
K00930|g__Filifactor.s__Filifactor_alocis	1.279
K00931	1.963
K00931|g__Filifactor.s__Filifactor_alocis	1.963
K00936	9.154
K00936|unclassified	9.154
K00937	9.657
K00937|unclassified	9.657
K00939	17.014
K00939|g__Fusobacterium.s__Fusobacterium_nucleatum	17.014
K00941	26.804
K00941|g__Fusobacterium.s__Fusobacterium_nucleatum	17.345
K00941|g__Prevotella.s__Prevotella_nigrescens	9.459
K00942	26.201
K00942|g__Fusobacterium.s__Fusobacterium_nucleatum	26.201
K00943	10.275
K00943|g__Fusobacterium.s__Fusobacterium_nucleatum	10.275
K00945	16.292
K00945|g__Fusobacterium.s__Fusobacterium_nucleatum	5.357
K00945|unclassified	10.935
K00946	8.828
K00946|unclassified	8.828
K00948	14.101
K00948|g__Fusobacterium.s__Fusobacterium_nucleatum	14.101
K00949	5.329
K00949|g__Filifactor.s__Filifactor_alocis	5.329
K00951	10.679
K00951|g__Filifactor.s__Filifactor_alocis	1.903
K00951|unclassified	8.776
K00954	5.076
K00954|g__Fusobacterium.s__Fusobacterium_nucleatum	5.076
K00956	7.475
K00956|unclassified	7.475
K00957	15.028
K00957|unclassified	15.028
K00962	17.426
K00962|g__Filifactor.s__Filifactor_alocis	0.961
K00962|g__Fusobacterium.s__Fusobacterium_nucleatum	16.465
K00963	3.755
K00963|g__Fusobacterium.s__Fusobacterium_nucleatum	3.755
K00965	13.984
K00965|g__Fusobacterium.s__Fusobacterium_nucleatum	13.984
K00969	18.329
K00969|g__Filifactor.s__Filifactor_alocis	1.919
