# Gene Family	C2_Abundance-RPKs
K01462|g__Haemophilus.s__Haemophilus_parainfluenzae	4.878
K01462|g__Haemophilus.s__Haemophilus_sputorum	12.019
K01465	1.6
K01465|g__Prevotella.s__Prevotella_melaninogenica	1.6
K01489	2.577
K01489|g__Haemophilus.s__Haemophilus_parainfluenzae	2.577
K01493	4.975
K01493|g__Prevotella.s__Prevotella_melaninogenica	4.975
K01494	4.141
K01494|g__Haemophilus.s__Haemophilus_parainfluenzae	4.141
K01495	7.639
K01495|g__Haemophilus.s__Haemophilus_parainfluenzae	3.591
K01495|g__Prevotella.s__Prevotella_melaninogenica	4.049
K01524	1.384
K01524|g__Haemophilus.s__Haemophilus_parainfluenzae	1.384
K01572	4.967
K01572|g__Haemophilus.s__Haemophilus_sputorum	4.967
K01589	0.989
K01589|g__Haemophilus.s__Haemophilus_parainfluenzae	0.989
K01599	2.021
K01599|g__Haemophilus.s__Haemophilus_parainfluenzae	2.021
K01610	3.951
K01610|g__Haemophilus.s__Haemophilus_parainfluenzae	2.637
K01610|g__Prevotella.s__Prevotella_melaninogenica	1.315
K01613	1.653
K01613|g__Prevotella.s__Prevotella_melaninogenica	1.653
K01619	4.658
K01619|g__Haemophilus.s__Haemophilus_parainfluenzae	3.478
K01619|g__Prevotella.s__Prevotella_melaninogenica	1.179
K01624	8.178
K01624|g__Haemophilus.s__Haemophilus_parainfluenzae	3.061
K01624|g__Haemophilus.s__Haemophilus_sputorum	5.117
K01626	2.016
K01626|g__Haemophilus.s__Haemophilus_parainfluenzae	2.016
K01627	5.298
K01627|g__Haemophilus.s__Haemophilus_parainfluenzae	2.649
K01627|g__Haemophilus.s__Haemophilus_sputorum	2.649
K01633	3.891
K01633|g__Haemophilus.s__Haemophilus_parainfluenzae	3.891
K01639	2.558
K01639|g__Haemophilus.s__Haemophilus_sputorum	2.558
K01643	2.847
K01643|g__Haemophilus.s__Haemophilus_sputorum	2.847
K01644	5.021
K01644|g__Haemophilus.s__Haemophilus_sputorum	5.021
K01649	2.071
K01649|g__Haemophilus.s__Haemophilus_parainfluenzae	2.071
K01652	5.757
K01652|g__Haemophilus.s__Haemophilus_parainfluenzae	5.114
K01652|g__Haemophilus.s__Haemophilus_sputorum	0.643
K01661	3.958
K01661|g__Haemophilus.s__Haemophilus_parainfluenzae	1.319
K01661|g__Haemophilus.s__Haemophilus_sputorum	2.639
K01665	2.247
K01665|g__Prevotella.s__Prevotella_melaninogenica	2.247
K01668	3.132
K01668|g__Haemophilus.s__Haemophilus_parainfluenzae	3.132
K01674	3.063
K01674|g__Haemophilus.s__Haemophilus_parainfluenzae	3.063
K01679	6.154
K01679|g__Haemophilus.s__Haemophilus_parainfluenzae	1.544
K01679|g__Haemophilus.s__Haemophilus_sputorum	4.61
K01689	3.281
K01689|g__Haemophilus.s__Haemophilus_parainfluenzae	3.281
K01696	1.828
K01696|g__Haemophilus.s__Haemophilus_sputorum	1.828
K01703	3.053
K01703|g__Haemophilus.s__Haemophilus_sputorum	3.053
K01710	1.094
K01710|g__Haemophilus.s__Haemophilus_parainfluenzae	1.094
K01711	2.016
K01711|g__Prevotella.s__Prevotella_melaninogenica	2.016
K01714	7.594
K01714|g__Haemophilus.s__Haemophilus_parainfluenzae	2.509
K01714|g__Haemophilus.s__Haemophilus_sputorum	2.536
K01714|g__Prevotella.s__Prevotella_melaninogenica	2.548
K01716	6.798
K01716|g__Haemophilus.s__Haemophilus_parainfluenzae	4.478
K01716|g__Haemophilus.s__Haemophilus_sputorum	2.32
K01733	6.809
K01733|g__Haemophilus.s__Haemophilus_parainfluenzae	6.809
K01736	2.034
K01736|g__Haemophilus.s__Haemophilus_sputorum	2.034
K01738	2.35
K01738|g__Haemophilus.s__Haemophilus_parainfluenzae	2.35
K01739	3.86
K01739|g__Haemophilus.s__Haemophilus_sputorum	3.86
K01745	1.432
K01745|g__Prevotella.s__Prevotella_melaninogenica	1.432
K01752	2.566
K01752|g__Haemophilus.s__Haemophilus_parainfluenzae	0.787
K01752|g__Prevotella.s__Prevotella_melaninogenica	1.779
K01754	2.755
K01754|g__Haemophilus.s__Haemophilus_parainfluenzae	2.755
K01756	1.574
K01756|g__Haemophilus.s__Haemophilus_sputorum	1.574
K01784	4.362
K01784|g__Haemophilus.s__Haemophilus_parainfluenzae	4.362
K01785	2.159
K01785|g__Haemophilus.s__Haemophilus_parainfluenzae	2.159
K01787	1.838
K01787|g__Prevotella.s__Prevotella_melaninogenica	1.838
K01803	5.772
K01803|g__Haemophilus.s__Haemophilus_parainfluenzae	5.772
K01807	3.571
K01807|g__Haemophilus.s__Haemophilus_parainfluenzae	3.571
K01809	0.909
K01809|g__Haemophilus.s__Haemophilus_parainfluenzae	0.909
K01818	2.4
K01818|g__Haemophilus.s__Haemophilus_sputorum	2.4
K01834	6.849
K01834|g__Haemophilus.s__Haemophilus_parainfluenzae	3.425
K01834|g__Haemophilus.s__Haemophilus_sputorum	3.425
K01835	1.444
K01835|g__Prevotella.s__Prevotella_melaninogenica	1.444
K01840	1.283
K01840|g__Haemophilus.s__Haemophilus_sputorum	1.283
K01845	4.223
K01845|g__Haemophilus.s__Haemophilus_parainfluenzae	2.534
K01845|g__Haemophilus.s__Haemophilus_sputorum	1.689
K01866	1.667
K01866|g__Prevotella.s__Prevotella_melaninogenica	1.667
K01867	9.586
K01867|g__Haemophilus.s__Haemophilus_parainfluenzae	1.105
K01867|g__Haemophilus.s__Haemophilus_sputorum	6.459
K01867|g__Prevotella.s__Prevotella_melaninogenica	2.022
K01868	4.367
K01868|g__Haemophilus.s__Haemophilus_parainfluenzae	3.275
K01868|g__Haemophilus.s__Haemophilus_sputorum	1.092
K01874	2.545
K01874|g__Haemophilus.s__Haemophilus_sputorum	2.545
K01875	1.655
K01875|g__Haemophilus.s__Haemophilus_sputorum	1.655
K01876	2.389
K01876|g__Haemophilus.s__Haemophilus_parainfluenzae	1.195
K01876|g__Haemophilus.s__Haemophilus_sputorum	1.193
K01878	1.236
K01878|g__Haemophilus.s__Haemophilus_parainfluenzae	1.236
K01881	5.16
K01881|g__Haemophilus.s__Haemophilus_sputorum	3.713
K01881|g__Prevotella.s__Prevotella_melaninogenica	1.447
K01883	1.563
K01883|g__Haemophilus.s__Haemophilus_parainfluenzae	1.563
K01885	8.954
K01885|g__Haemophilus.s__Haemophilus_sputorum	8.954
K01887	1.221
K01887|g__Haemophilus.s__Haemophilus_parainfluenzae	1.221
K01889	2.262
K01889|g__Haemophilus.s__Haemophilus_sputorum	2.262
K01892	2.56
K01892|g__Haemophilus.s__Haemophilus_parainfluenzae	2.56
K01893	6.074
K01893|g__Haemophilus.s__Haemophilus_sputorum	6.074
K01895	1.271
K01895|g__Prevotella.s__Prevotella_melaninogenica	1.271
K01897	2.556
K01897|g__Prevotella.s__Prevotella_melaninogenica	2.556
K01903	0.936
K01903|g__Haemophilus.s__Haemophilus_parainfluenzae	0.936
K01914	2.24
K01914|g__Haemophilus.s__Haemophilus_parainfluenzae	2.24
K01915	2.845
K01915|g__Prevotella.s__Prevotella_melaninogenica	2.845
K01921	5.773
K01921|g__Haemophilus.s__Haemophilus_parainfluenzae	2.436
K01921|g__Prevotella.s__Prevotella_melaninogenica	3.337
K01923	3.659
K01923|g__Haemophilus.s__Haemophilus_parainfluenzae	1.314
K01923|g__Prevotella.s__Prevotella_melaninogenica	2.345
K01924	3.012
K01924|g__Haemophilus.s__Haemophilus_sputorum	3.012
K01925	3.247
K01925|g__Prevotella.s__Prevotella_melaninogenica	3.247
K01928	2.921
K01928|g__Prevotella.s__Prevotella_melaninogenica	2.921
K01929	7.799
K01929|g__Haemophilus.s__Haemophilus_parainfluenzae	6.273
K01929|g__Prevotella.s__Prevotella_melaninogenica	1.527
K01933	4.012
K01933|g__Haemophilus.s__Haemophilus_parainfluenzae	2.132
K01933|g__Prevotella.s__Prevotella_melaninogenica	1.88
K01934	4.228
K01934|g__Haemophilus.s__Haemophilus_parainfluenzae	4.228
K01937	5.835
K01937|g__Haemophilus.s__Haemophilus_parainfluenzae	1.3
K01937|g__Haemophilus.s__Haemophilus_sputorum	2.564
K01937|g__Prevotella.s__Prevotella_melaninogenica	1.97
K01939	8.34
K01939|g__Haemophilus.s__Haemophilus_parainfluenzae	3.336
K01939|g__Haemophilus.s__Haemophilus_sputorum	5.004
K01940	5.67
K01940|g__Haemophilus.s__Haemophilus_parainfluenzae	4.858
K01940|g__Haemophilus.s__Haemophilus_sputorum	0.812
K01945	1.71
K01945|g__Prevotella.s__Prevotella_melaninogenica	1.71
K01951	8.185
K01951|g__Haemophilus.s__Haemophilus_parainfluenzae	4.109
K01951|g__Haemophilus.s__Haemophilus_sputorum	4.076
K01961	1.604
K01961|g__Haemophilus.s__Haemophilus_parainfluenzae	1.604
K01962	2.358
K01962|g__Haemophilus.s__Haemophilus_parainfluenzae	2.358
K01993	2.255
K01993|g__Prevotella.s__Prevotella_melaninogenica	2.255
K02004	1.612
K02004|g__Haemophilus.s__Haemophilus_parainfluenzae	1.612
K02008	3.67
K02008|g__Haemophilus.s__Haemophilus_parainfluenzae	3.67
K02010	8.366
K02010|g__Haemophilus.s__Haemophilus_parainfluenzae	5.247
K02010|g__Haemophilus.s__Haemophilus_sputorum	3.12
K02011	1.407
K02011|g__Haemophilus.s__Haemophilus_parainfluenzae	1.407
K02012	8.654
K02012|g__Haemophilus.s__Haemophilus_parainfluenzae	6.429
K02012|g__Haemophilus.s__Haemophilus_sputorum	2.225
K02013	13.986
K02013|g__Haemophilus.s__Haemophilus_parainfluenzae	4.445
K02013|g__Haemophilus.s__Haemophilus_sputorum	2.994
K02013|g__Prevotella.s__Prevotella_melaninogenica	6.547
K02014	1.455
K02014|g__Prevotella.s__Prevotella_melaninogenica	1.455
K02015	13.231
K02015|g__Haemophilus.s__Haemophilus_parainfluenzae	9.953
K02015|g__Haemophilus.s__Haemophilus_sputorum	1.139
K02015|g__Prevotella.s__Prevotella_melaninogenica	2.139
K02016	12.491
K02016|g__Haemophilus.s__Haemophilus_parainfluenzae	9.088
K02016|g__Haemophilus.s__Haemophilus_sputorum	3.403
K02018	4.862
K02018|g__Haemophilus.s__Haemophilus_parainfluenzae	4.862
K02019	4.491
K02019|g__Haemophilus.s__Haemophilus_parainfluenzae	4.491
K02030	5.277
K02030|g__Haemophilus.s__Haemophilus_parainfluenzae	5.277
K02031	5.379
K02031|g__Haemophilus.s__Haemophilus_sputorum	5.379
K02032	2.719
K02032|g__Haemophilus.s__Haemophilus_sputorum	2.719
K02034	5.379
K02034|g__Haemophilus.s__Haemophilus_sputorum	5.379
K02035	1.334
K02035|g__Haemophilus.s__Haemophilus_parainfluenzae	1.334
K02049	3.373
K02049|g__Haemophilus.s__Haemophilus_parainfluenzae	3.373
K02051	2.234
K02051|g__Haemophilus.s__Haemophilus_parainfluenzae	2.234
K02053	5.319
K02053|g__Haemophilus.s__Haemophilus_parainfluenzae	5.319
K02054	1.299
K02054|g__Haemophilus.s__Haemophilus_parainfluenzae	1.299
K02055	6.047
K02055|g__Haemophilus.s__Haemophilus_parainfluenzae	6.047
K02063	3.976
K02063|g__Haemophilus.s__Haemophilus_parainfluenzae	3.976
K02111	1.387
K02111|g__Haemophilus.s__Haemophilus_parainfluenzae	1.387
K02112	2.355
K02112|g__Haemophilus.s__Haemophilus_parainfluenzae	0.785
K02112|g__Haemophilus.s__Haemophilus_sputorum	1.57
K02115	1.139
K02115|g__Prevotella.s__Prevotella_melaninogenica	1.139
K02193	1.845
K02193|g__Haemophilus.s__Haemophilus_parainfluenzae	1.845
K02217	10.252
K02217|g__Haemophilus.s__Haemophilus_parainfluenzae	5.161
K02217|g__Prevotella.s__Prevotella_melaninogenica	5.091
K02221	4.3
K02221|g__Haemophilus.s__Haemophilus_parainfluenzae	4.3
K02238	0.88
K02238|g__Haemophilus.s__Haemophilus_parainfluenzae	0.88
K02313	1.53
K02313|g__Prevotella.s__Prevotella_melaninogenica	1.53
K02314	1.407
K02314|g__Prevotella.s__Prevotella_melaninogenica	1.407
K02316	0.549
K02316|g__Prevotella.s__Prevotella_melaninogenica	0.549
K02338	3.949
K02338|g__Haemophilus.s__Haemophilus_parainfluenzae	1.998
K02338|g__Prevotella.s__Prevotella_melaninogenica	1.951
K02340	4.292
K02340|g__Haemophilus.s__Haemophilus_parainfluenzae	2.132
K02340|g__Prevotella.s__Prevotella_melaninogenica	2.16
K02343	1.956
K02343|g__Haemophilus.s__Haemophilus_parainfluenzae	1.956
K02346	2.918
K02346|g__Haemophilus.s__Haemophilus_parainfluenzae	2.918
K02355	9.454
K02355|g__Haemophilus.s__Haemophilus_parainfluenzae	3.495
K02355|g__Haemophilus.s__Haemophilus_sputorum	5.959
K02356	10.707
K02356|g__Haemophilus.s__Haemophilus_parainfluenzae	6.424
K02356|g__Haemophilus.s__Haemophilus_sputorum	4.283
K02357	5.319
K02357|g__Haemophilus.s__Haemophilus_sputorum	5.319
K02358	11.031
K02358|g__Haemophilus.s__Haemophilus_sputorum	9.209
K02358|g__Prevotella.s__Prevotella_melaninogenica	1.822
K02427	7.504
K02427|g__Haemophilus.s__Haemophilus_sputorum	7.504
K02428	4.124
K02428|g__Prevotella.s__Prevotella_melaninogenica	4.124
K02429	10.094
K02429|g__Haemophilus.s__Haemophilus_sputorum	8.405
K02429|g__Prevotella.s__Prevotella_melaninogenica	1.689
K02440	3.106
K02440|g__Haemophilus.s__Haemophilus_parainfluenzae	3.106
K02445	4.468
K02445|g__Haemophilus.s__Haemophilus_parainfluenzae	4.468
K02446	2.084
K02446|g__Haemophilus.s__Haemophilus_parainfluenzae	2.084
K02469	0.785
K02469|g__Haemophilus.s__Haemophilus_parainfluenzae	0.785
K02470	1.713
K02470|g__Haemophilus.s__Haemophilus_parainfluenzae	1.713
K02471	3.599
K02471|g__Haemophilus.s__Haemophilus_parainfluenzae	3.599
K02492	1.635
K02492|g__Haemophilus.s__Haemophilus_parainfluenzae	1.635
K02493	2.568
K02493|g__Prevotella.s__Prevotella_melaninogenica	2.568
K02495	6.934
K02495|g__Haemophilus.s__Haemophilus_parainfluenzae	3.611
K02495|g__Prevotella.s__Prevotella_melaninogenica	3.323
K02496	3.336
K02496|g__Haemophilus.s__Haemophilus_parainfluenzae	3.336
K02503	3.984
K02503|g__Haemophilus.s__Haemophilus_parainfluenzae	3.984
K02507	1.565
