Genus	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
g__Romboutsia	0	0.03672	0	0	0	0	0.60315	0	0	0	0	0	0.39351	0.14723	0.11166	0.05783	1.95777	0.27347
g__Barnesiella	0.34113	0	0	0.0929	0	1.01826	0	0	1.13603	0	0	0	0.09141	0	0	0.79486	0.01611	0.06287
g__Evtepia	0.11688	0.66954	0.02073	0.06816	0	0.04614	0	0	0.39753	0	0	0	0.4344	0.0618	0.71499	0.73542	0.22119	0
g__GGB9627	0.59788	0	0.00579	0.6621	0	0	0	0	0	0	0	0	0.48222	0.80583	0.21167	0	0.04666	0.46325
g__Agathobaculum	0.05807	0.12157	0.07944	0.04327	0.02604	0.0062	0.24912	0.01665	0.03835	0	0	0.00832	0.20922	0.1977	0.10311	0.91194	0.14598	0.83249
g__GGB3632	0	0	3.04413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lacrimispora	0.24668	0.01691	0.01399	0.2083	0.30501	0	1.03733	0	0.05804	0	0	0	0.20044	0.00516	0.01791	0.07688	0.19807	0.4393
g__GGB80011	0	1.10525	0	0.01329	0.83873	0	0	0	0.05354	0	0	0	0	0.64849	0	0	0.10491	0
g__GGB4386	0	0	0	0	0	0	0	0	0	0	0	2.76121	0	0	0	0	0	0
g__GGB1663	0	0	0.17368	0	0	0	0	0	0	0	0	0	1.05691	1.03081	0.45165	0	0	0.02382
g__Enterobacter	0	0	0	0	2e-04	0	0	0.01014	0	0	0	0	0.0074	0.00079	0	0	0	2.67001
g__Odoribacter	0.1316	0.30882	0.88394	0.41995	0.19735	0	0	0	0.267	0	0	0.00015	0.09376	0.05653	0.23719	0	0.00886	0.00489
g__GGB1495	0	0	0.44928	0	0	0	0	0	0	0	0	0	0	0	1.5272	0	0.61193	0
g__Butyricicoccus	0.07872	0	0	0	0	0	0	0	0.17107	0	0	0.00699	0	0.65609	0.76104	0	0.02056	0.87527
g__Sutterella	0	0	0.51389	0	0.0295	1.23873	0	0	0	0.29105	0.05625	0.04982	0.08745	0.03001	0	0.01609	0.00419	0.07202
g__GGB9758	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25012	0	0	0.08033	0
g__Anaerobutyricum	0.03588	0.08843	0.03569	0.00071	0.00251	0	0	0	0.06081	0	0	0	0.41917	0.18602	0.25147	0.43915	0.6072	0.09712
g__Faecalicatena	0.11203	0.07477	0.04319	0.08164	0	0	0	0	0.07977	0	0	0.00548	0.00179	0.08176	0	0	0.2535	1.29988
g__Mesosutterella	0.01808	0.0826	0	0.86668	0.29475	0.00359	0	0	0	0	0	0	0.12189	0.10452	0	0.02573	0	0.44211
g__Actinomyces	0.0917	0.00639	0	0.01272	0	0	0.1135	0.00865	0	0.96648	0.32303	0.00221	0.2315	0.03068	0.00132	0.00928	0.0204	0.09169
g__Erysipelatoclostridium	0.00881	0	0	0	0.2252	0.38634	1.07012	0	0	0.0583	0.00085	0.11113	0	0	0	0	0	0
g__GGB9708	0	0	0.04744	0	0.00219	0	0	0	0	0	0	0	0	1.12092	0.23103	0	0.29089	0.12453
g__GGB3343	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72634	0	0	0	0
g__Corynebacterium	0.00462	0	0.7988	0	0	0	0	0	0	0	0	0	0.00097	0	0	0	0.83273	0
g__Lawsonibacter	0.01086	0.20079	0.10284	0.20592	0.34903	0.17638	0	0.21099	0.05877	0	0	0	0.0774	0.0213	0.00906	0.04758	0	0.06825
g__GGB79973	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01536	0	0	1.51842	0
g__Staphylococcus	0.0313	0	1.14682	0	0	0	0	0	0	0	0	0	0	0.3464	0	0	0	0
g__GGB3619	0	0	0.21675	0	0	0	0	0	0	0	0	0	0	0.29886	0.91828	0	0.00252	0
g__Hydrogenoanaerobacterium	0.31978	0	0.09975	0.06358	0.2723	0.12091	0	0	0	0	0	0	0.23327	0.04545	0.20237	0	0	0.02916
g__GGB3256	0	0	0	0.13494	0	0	0	0	0	0	0	0	0	0	0	0	1.23788	0
g__GGB9699	0.01668	0	0	0	0.43585	0.00156	0	0	0	0	0	0	0.09907	0.46632	0.07746	0.21488	0.02056	0.02713
g__GGB9634	0	0	0.57449	0	0	0	0	0	0	0	0	0	0	0	0.53126	0	0.21129	0.03768
g__Anaerostipes	0.00648	0.15238	0.0113	0	0.01777	0.0174	0	0	0.09273	0	0.00056	0.03103	0.28698	0.03385	0.04807	0.35657	0.24079	0.04338
g__GGB4682	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28535	0	0	0	0
g__Desulfovibrio	0	0	0.27085	0.39531	0.10802	0	0	0	0	0	0	0	0.29197	0.03144	0.08764	0.01865	0.04058	0.00152
g__Hungatella	0.01299	0.07592	0.02397	0.04012	0.16753	0.08335	0	0	0.0056	0.42087	0	0.14217	0.05109	0	0.20843	0.00248	0	0
g__GGB9635	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79003	0.35166	0	0	0.06208
g__Tyzzerella	0	0	0	0	0	0.05307	0	0	0	0	0	0.94302	0.00773	0	0	0	0	0.13228
g__GGB9713	0	0	0.12237	0	0	0	0	0	0	0	0	0	0.00275	0.88292	0.07964	0	0.043	0.00395
g__Faecalibacillus	0.19107	0.07179	0.12518	0.02813	0.0628	0	0	0	0.02524	0	0	0	0.18081	0.00578	0.01232	0.1167	0	0.22791
g__GGB1496	0	0	0.01305	0	1.03289	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Intestinimonas	0.3534	0	0.27589	0.0858	0.07215	0.02217	0	0	0	0	0	0	0.09693	0.05544	0.04752	0	0	0
g__Sellimonas	0	0.05042	0	0	0.00033	0.08855	0	0	0	0	0	0	0.73157	0	0	0.09778	0	0
g__Acidaminococcus	0	0.90178	0	0	0.05346	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9512	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9329	0	0	0	0
g__GGB4642	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9072	0	0	0	0
g__GGB9534	0.09336	0	0	0.48444	0.12291	0	0	0	0	0	0	0	0.01425	0.00756	0.14127	0	0	0
g__GGB3304	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67676	0.16022	0	0.00922	0
g__Pseudomonas	0	0	0	0	0	0	0	0.0377	0	0.63325	0.16945	0	0	0	0	0	0	0
g__Faecalimonas	0	0.00279	0	0	0	0	0.5387	0	0.00426	0.26942	0	0.02366	0	0	0	0	0	0
g__GGB9593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60081	0	0.19465	0.04061
g__Vescimonas	0.13731	0.01003	0	0.15599	0	0	0	0	0	0	0	0	0.08871	0.05441	0.09866	0.09198	0.14619	0.00232
g__GGB3281	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76228	0	0	0	0
g__Citrobacter	0	0	0	8e-04	0	0	0	0.19969	0.48389	0	0	0	0	0.02106	0	0	0	0.02646
g__Allisonella	0	0	0.03139	0	0.03537	0	0	0	0.00731	0	0	0	0	0.05894	0	0	0.00947	0.58874
g__GGB4248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71134	0	0	0
g__Lachnoclostridium	0.04971	0	0.00499	0.02758	0.00783	0.05829	0	0.00216	0.01282	0	0.20412	0.24731	0.0673	0.00139	0	0.02003	0	0
g__GGB4717	0	0	0.70064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB79734	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23698	0.13581	0	0.144	0.1684
g__GGB1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66947	0
g__Rheinheimera	0.01746	0.02824	0.04133	0.06201	0.11149	0.01339	0	0	0.14615	0	0	0	0	0	0.05718	0.07289	0	0.0675
g__GGB13493	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40178	0.1928	0	0.01102	0
g__Phocea	0.05548	0.32845	0.00724	0	0.0383	0	0	0	0.00187	0	0	0.02776	0.10681	0.01622	0	0	0	0.00407
g__Senegalimassilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00386	0	0.56975	0
g__GGB4599	0.05947	0	0.50155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Holdemania	0.04015	0.01657	0.05317	0.04954	0.09231	0	0	0	0.00736	0	0	0.00461	0.18739	0	0.02532	0.04309	0.00678	0.03378
g__Methanobrevibacter	0	0	0	0	0.00107	0	0	0	0	0	0	0	0	0	0	0	0.52159	0.0269
g__GGB9561	0.00866	0.1409	0	0	0	0	0	0	0	0	0	0	0	0.14785	0	0.24633	0.0018	0
g__Merdimonas	0	0	0	0	0	0	0	0.48417	0	0	0	0	0.05483	0.00064	0	0	0	0
g__Nitrosopumilus	0	0	0	0	0.2166	0	0	0	0	0	0	0	0.30252	0	0.00642	0	0	0.00528
g__Oxalobacter	0.05587	0.01728	0.02702	0	0	0	0	0	0	0	0	0	0.19787	0.23034	0	0	0.00092	0
g__GGB33469	0	0	0	0	0	0	0	0	0	0	0	0	0.13194	0.29878	0.02004	0	0.01362	0.05668
g__Kluyvera	0	0	0	0	0	0	0	0.48235	0	0.00095	0	0	0	0.01572	0	0	0	0.01523
g__GGB9760	0	0	0.03335	0	0	0	0	0	0	0	0	0	0	0.09876	0.14676	0	0.13741	0.06761
g__GGB9712	0	0	0.0667	0	0	0	0	0	0	0	0	0	0.21694	0	0.14403	0	0	0.01416
g__GGB9619	0.00786	0	0.00092	0.02059	0.05097	0.25345	0	0	0	0	0	0	0.04821	0.04595	0	0	0	0
g__Cupriavidus	0	0	0	0	0	0	0	0.0108	0	0.33684	0.07271	0	0	0	0	0	0	0
g__Anaerococcus	0	0	0	0	0	0	0	0	0	0	0	0.17581	0	0.19254	0.05189	0	0	0
g__Gemella	0.36152	0	0.00081	0	0	0	0.00504	0	0	0	0	0	0	0.00918	0	0	0	0.00831
g__Dielma	0.20499	0	0.01061	0.02096	0.08452	0.0015	0	0.02204	0.00254	0	0	0.02536	0	0	0.00749	0	0	0
g__GGB9444	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37407	0	0	0	0
g__GGB6547	0	0.36848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Adlercreutzia	0	0.00696	0.00526	0	0.00152	0	0	0	0	0	0	0	0.09316	0.04303	0	0	0.19519	0.00964
g__GGB9691	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25566	0.09239	0	0	0
g__Eggerthella	0.05111	0.02485	3e-04	0.01021	0	0.01523	0.08659	0.0479	0.00539	0	0.07984	0	0	0	0	0.02507	0	0
g__GGB33928	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16961	0.08493	0	0.04007	0.04337
g__GGB3175	0	0	0.00278	0	0	0	0	0	0	0	0	0	0	0.31733	0	0	0	0
g__GGB79916	0	0	0	0	0.31629	0.00064	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB6574	0.01454	0.28192	0.01797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9707	0.03117	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05544	0	0.1063	0.1139
g__GGB9719	0	0	0	4e-04	0.01776	0.27083	0	0	0	0	0	0	0.00479	0.00716	0	0	0	0
g__Eisenbergiella	0	0	0	0.02279	0.01075	0.01419	0	0	0	0	0.1731	0	0.07275	0	0	0.00266	0	0.00104
g__GGB6569	0.05531	0	0.12583	0	0	0	0	0	0	0	0	0	0	0.10151	0	0	0	0
g__GGB2982	0	0	0	0.08607	0	0.00558	0	0	0	0	0	0	0	0	0.18636	0	0	0
g__GGB9434	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27468	0	0	0	0
g__Anaerotruncus	0.05825	0.05813	0.01319	0.05227	0.0104	0	0	0	0.02805	0	0	0	0.0286	0.00733	0.00395	0.01143	0	0
g__GGB9595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19647	0	0.02255	0.04533
g__Morganella	0	0	0	0	0	0	0	0.17884	0.08467	0	0	0	0	0	0	0	0	0
g__Intestinibacter	0	0	0	0	0.06131	0.01245	0.01311	0	0	0	0	0	0	0	0.00816	0	0	0.16635
g__GGB9480	0.01015	0	0	0	0.14667	0	0	0	0	0	0	0	0.10321	0	0	0	0	0
g__Candidatus_Allochristensenella	0	0	0	0	0.23979	0	0	0	0	0	0	0	0.01797	0	0	0	0	0
g__GGB3278	0	0	0.25527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB4559	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24222	0	0	0	0.0098
g__Coprobacter	0	0	0	0	0	0	0	0	0.22103	0	0	0	0.00058	0.01889	0	0.01106	0	0
g__Paratractidigestivibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25091
g__GGB3321	0	0	0.00147	0.01579	0	0	0	0	0	0	0	0	0	0.07365	0.02138	0	0.13687	0
g__GGB3653	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24907	0	0	0	0
g__GGB9453	0	0	0	0	0.01846	0.03382	0	0	0	0	0	0	0.19636	0	0	0	0	0
g__GGB3109	0	0.08632	0	0	0	0	0	0	0	0.0081	0	0	0	0	0	0	0.14662	0
g__GGB49418	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19843	0	0	0.02357	0.01515
g__GGB2653	0.04204	0	0	0.01169	0.06521	0.01417	0	0	0	0	0	0	0.04189	0.05613	0	0	0	0
g__GGB9608	0	0	0	0	0	0	0	0	0	0	0	0	0.01183	0	0	0	0.21788	0
g__Parasutterella	0	0	0.00242	0	0	0	0	0	0.16315	0	0	0	0.02388	0	0	0.00414	0	0.03168
g__GGB9642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22268
g__GGB3363	0	0.21837	0	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Ralstonia	0	0	0	0	0	0	0	0.00385	0	0.18161	0.03124	0	0	0	0	0	0	0
g__GGB9531	0	0	0.03981	0	0.06696	0	0	0	0	0	0	0	0.10854	0	0	0	0	0
g__GGB9614	0.00757	0	0.00044	0.03572	0	0	0	0	0	0	0	0	0	0.00945	0	0.1345	0.00062	0.00853
g__Bradyrhizobium	0	0	0	0	0	0	0	0.00175	0	0.15926	0.03379	0	0	0	0	0	0	0
g__Olsenella	0	0	0	0	0.03314	0	0	0	0	0	0	0	0.00102	0.01699	0	0	0.13758	0
g__GGB79998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18698	0	0
g__GGB9359	0.05948	0	0	0	0	0	0	0	0	0	0	0	0	0.09473	0	0	0	0.03159
g__GGB9237	0.01324	0	0.01492	0	0.0078	0	0	0	0	0	0	0	0.06853	0.07252	0.00178	0	0.0021	0
g__GGB9342	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01231	0.15414	0	0.01007	0
g__GGB42994	0	0	0.16535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB3818	0	0	0.02997	0	0.00353	0	0	0	0	0	0	0.00307	0.02949	0	0	0.09862	0	0
g__Aquabacterium	0	0	0	0	0	0.1623	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB74403	0	0	0.01275	0.1092	0.01708	0	0	0	0	0	0	0	0.01899	0	0	0	0	0
g__GGB79770	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15595	0	0	0	0.00123
g__Turicibacter	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.00784	0	0	0.001	0.14598
g__Enterococcus	0	0	0	0	0	0	0.00245	0.03241	0	0.02567	0	0	0	0.00939	0.00023	0	0.02631	0.05866
g__Peptacetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15379	0	0	0
g__GGB52130	0	0	0.00308	0.01811	0	0	0	0	0	0	0	0	0.07474	0.01897	0	0	0.00347	0.00515
g__GGB9528	0	0	0	0	0.1215	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB1123	0	0	0.12138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9618	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0408	0.07858	0	0	0
g__GGB9076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11879	0	0	0
g__Hydrogeniiclostidium	0	0	0	0	0.05092	0.03128	0	0	0	0	0	0	0.02577	0	0	0.00992	0	0
g__GGB13404	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06963	0.00993	0	0.03756	0
g__Frisingicoccus	0	0	0.04781	0.00111	0	0	0	0	0	0	0	0	0	0.06614	0	0	0	0
g__GGB9737	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08282	0.00305	0	0	0.02893
g__Emergencia	0.05179	0	0	0.05356	0	0	0	0	0	0	0	0	0.00537	0	0	0	0	0
g__GGB9568	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10987	0	0	0	0
g__GGB2983	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02002	0	0	0.03782	0.04875
g__Anaeroglobus	0.02388	0	0	0.08111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Mogibacterium	0.02231	0.00052	0.00596	0.0207	0	0	0	0	0	0	0	0	0.00067	0.05062	0	0.00225	0.00043	0
g__GGB41458	0	0	0	0	0	0	0	0	0	0	0	0	0.02403	0.07875	0	0	0	0
g__GGB9616	0	0	0	0.00905	0	0	0	0	0	0	0	0	0	0.00364	0.05767	0	0.00452	0.02506
g__Pyramidobacter	0	0	0	0	0	0	0	0	0	0	0	0	0.09642	0	0.00099	0	0	0
g__GGB6020	0	0	0	0	0.0022	0	0	0	0	0.01938	0.06963	0.00607	0	0	0	0	0	0
g__Massiliimalia	0	0	0	0	0	0.09069	0	0	0	0	0	0	9e-04	0	0	0	0	0
g__GGB9296	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09139	0	0	0	0
g__GGB9636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09106	0	0	0
g__Gordonibacter	0	0.00032	0	0	0.00266	0.00261	0	0	0	0	0	0	0.00865	0.02554	0	0.0442	0.00657	0
g__Akkermansia	0	0	0.00374	0	0	0	0	0	0.00216	0.00423	0	0	0	0	0	0	0.06871	0.01161
g__GGB3819	0.08837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Lancefieldella	0.05335	0	0	0.02222	0	0	0	0	0	0.00052	0.009	0	0.00021	0	0	0	0	0
g__GGB3815	0	0	0	0.03845	0	0	0	0	0	0	0	0	0	0	0.00412	0	0	0.04203
g__GGB9767	0.00135	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00129	0	0.08053	0
g__Granulicatella	0.07824	0	0	0	0	0	0	0	0	0	0	0	0.00257	0	8e-04	0	0.00095	0.00025
g__GGB2998	0	0	0.04153	0	0.01501	0	0	0	0	0	0	0	0	0	0.00262	0.02259	0	0
g__GGB2659	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07881	0	0	0	0
