ID	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.52468	0.45559	0.13315	0.04734	0.29523	0.04418	0.90799	0.0479	0.22039	0.00052	0.6331	0.03858	1.23974	2.07949	0.45199	0.46803	2.64181	0.81975
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.45171	0.12077	0.1955	0.09863	0.48424	1.66157	1.07012	0.02204	0.03514	0.0583	0.13373	0.20327	1.83736	0.59912	0.6447	0.15978	2.98637	2.17259
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.28014	0.23049	0.29528	0.63975	0.83043	0.25323	0.0	0.25614	0.17796	0.0	0.08887	0.08458	1.09813	3.76273	0.62239	0.21372	0.05727	0.68557
k__Bacteria|p__Actinobacteria|c__Actinomycetia	0.10312	0.73546	0.7988	0.06365	0.19174	0.40044	0.1135	0.00865	0.14587	4.52299	79.47488	0.00221	2.17498	0.04802	0.0141	2.65774	14.37765	0.09567
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.08986	0.38181	0.56131	0.91814	0.32425	1.29642	0.0	0.01465	0.16315	0.81719	0.16066	0.04982	0.43108	0.36487	0.1589	0.04595	0.00511	0.54581
k__Bacteria|p__Firmicutes|c__CFGB1507	0.08837	0.0	0.02997	0.03845	0.00353	0.0	0.0	0.0	0.0	0.0	0.0	0.00307	0.02949	0.04506	0.00412	0.09862	0.0	0.04203
k__Bacteria|p__Firmicutes|c__CFGB1011	0.04204	0.0	0.0	0.01169	0.06521	0.01417	0.0	0.0	0.0	0.0	0.0	0.0	0.04189	0.05613	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0.01337	0.0	0.094	0.00868	1.26195	0.0	0.0	0.0	0.01572	0.0	0.0	0.0	0.0	0.04245	0.47477	0.0725	0.07952	0.3181
k__Bacteria|p__Firmicutes|c__CFGB9583	0.01252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	0.01025	0.00929	0.0	0.0	0.00677	0.0	0.04213	0.0	0.0	0.02896	0.11071	0.0	0.04229	0.00318	0.0	0.00618	0.00813	0.00749
k__Bacteria|p__Firmicutes|c__CFGB3012	0.01015	0.0	0.0	0.0	0.14667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10321	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048	0.00866	0.1409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14785	0.0	0.24633	0.0018	0.0
k__Bacteria|p__Firmicutes|c__CFGB1227	0.00182	0.0	0.0	0.01963	0.03937	0.01556	0.0	0.0	0.0	0.0	0.0	0.0	0.00229	0.04656	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__CFGB3069	0.00135	0.0	0.0	0.0	0.01712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00246	0.00129	0.0	0.08053	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	57.95899	65.43258	74.84135	70.93138	68.53184	82.74037	13.06386	19.36338	24.51731	4.19712	9.26089	72.1387	26.25162	21.58717	27.38799	17.53975	14.59818	19.78317
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	25.26341	12.87354	17.59125	15.91628	18.55045	10.74699	46.61716	4.5751	7.87737	57.5619	1.56417	3.91796	49.89476	47.37924	38.48844	64.26081	46.28092	51.74481
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	4.1556	0.17804	0.59475	0.91292	0.05569	0.00181	0.131	0.03241	0.0156	0.03128	0.0315	0.0	0.67064	1.21019	1.08245	0.11594	0.41505	0.64707
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	3.28025	0.0	0.22304	0.12512	0.1347	0.0	10.57502	0.0	0.26386	0.0	0.0	7.6915	0.00724	0.0	0.05526	0.0	0.0	0.24465
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	3.2477	0.01162	1.05872	0.69775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00179	0.02347	0.02234	0.05439	0.00376	0.30696	0.51432
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	1.72841	0.35217	0.14496	1.88879	2.71103	0.80857	16.82313	75.1008	63.6603	13.72828	7.77488	9.79173	0.81781	0.5901	0.23109	0.02298	3.52164	3.94959
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	1.47866	1.48994	0.11686	1.79955	1.92524	0.23807	0.0	0.00251	2.56466	0.0	0.06635	2.82603	0.84746	0.06462	0.71134	0.26607	0.0	2.27107
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.92637	15.84198	0.03329	5.21813	1.33234	0.08709	10.6544	0.38891	0.00731	18.17741	0.38155	0.0789	1.05659	10.49484	0.00343	1.7563	0.52921	0.61803
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.47115	0.42346	0.11152	0.03714	0.29104	0.02634	0.82141	0.0	0.215	0.00052	0.55326	0.0	1.10588	0.42613	0.42775	0.39876	2.43707	0.78063
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.45171	0.12077	0.1955	0.09863	0.48424	1.66157	1.07012	0.02204	0.03514	0.0583	0.13373	0.20327	1.83736	0.59912	0.6447	0.15978	2.98637	2.17259
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.28014	0.23049	0.29528	0.63975	0.83043	0.25323	0.0	0.25614	0.17796	0.0	0.08887	0.08458	1.09813	3.76273	0.62239	0.21372	0.05727	0.68557
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.1518	0.0	1.14716	0.00813	0.01125	0.0	0.00168	0.0	0.0	0.0	0.0	0.0	0.00698	0.34946	0.00709	0.0	0.0	0.00277
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	0.09171	0.00639	0.0	0.01272	0.0	0.0	0.1135	0.00865	0.0	0.96647	0.32303	0.00221	0.23235	0.03423	0.00132	0.00928	0.02039	0.09402
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.08986	0.38181	0.56131	0.91814	0.32425	1.29642	0.0	0.01465	0.16315	0.81719	0.16066	0.04982	0.43108	0.36487	0.1589	0.04595	0.00511	0.54581
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	0.08837	0.0	0.02997	0.03845	0.00353	0.0	0.0	0.0	0.0	0.0	0.0	0.00307	0.02949	0.04506	0.00412	0.09862	0.0	0.04203
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.05353	0.03213	0.02162	0.01021	0.00419	0.01784	0.08659	0.0479	0.00539	0.0	0.07984	0.03858	0.13386	1.65336	0.02425	0.06927	0.20473	0.03912
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	0.04204	0.0	0.0	0.01169	0.06521	0.01417	0.0	0.0	0.0	0.0	0.0	0.0	0.04189	0.05613	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	0.03112	0.07872	0.01812	0.19226	0.24204	0.02783	0.0	0.07455	0.03831	0.0	0.0	0.0	0.11481	0.17962	0.11406	0.0189	0.01252	0.01181
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	0.01746	0.02824	0.04133	0.06201	0.11149	0.01339	0.0	0.0	0.14615	0.0	0.0	0.0	0.0	0.0	0.05718	0.07289	0.0	0.0675
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	0.01337	0.0	0.094	0.00868	1.26195	0.0	0.0	0.0	0.01572	0.0	0.0	0.0	0.0	0.04245	0.47477	0.0725	0.07952	0.3181
k__Bacteria|p__Firmicutes|c__CFGB9583|o__OFGB9583	0.01252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	0.01025	0.00929	0.0	0.0	0.00677	0.0	0.04213	0.0	0.0	0.02896	0.11071	0.0	0.04229	0.00318	0.0	0.00618	0.00813	0.00749
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	0.01015	0.0	0.0	0.0	0.14667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10321	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	0.00866	0.1409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14785	0.0	0.24633	0.0018	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	0.00679	0.72907	0.0	0.05093	0.17149	0.40044	0.0	0.0	0.14587	3.53629	79.13992	0.0	1.93857	0.0	0.0	2.64845	13.50717	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.00378	0.0	0.00093	0.01112	0.19417	1.54301	0.0	0.0	0.0	0.0	0.0	0.2054	3.6782	0.23698	0.13581	10.85701	0.97891	0.36497
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.00362	0.06693	0.03428	0.06864	0.42692	0.04862	0.0	0.0735	0.09171	0.0	0.00086	0.0	3.86235	1.28241	0.00302	0.87029	1.44458	0.26148
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	0.00182	0.0	0.0	0.01963	0.03937	0.01556	0.0	0.0	0.0	0.0	0.0	0.0	0.00229	0.04656	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	0.00135	0.0	0.0	0.0	0.01712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00246	0.00129	0.0	0.08053	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	43.97953	34.4841	44.49859	48.49589	45.51162	61.11109	7.7152	15.00534	20.09711	0.03927	9.23079	71.36318	12.47086	4.01669	4.70379	5.34925	0.50572	3.87252
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	12.72407	6.35034	10.72463	5.85814	3.0891	2.56806	36.15214	0.51533	2.99563	33.21477	0.59335	1.80119	18.78265	18.25443	20.06792	21.79479	36.19899	37.48756
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	12.13951	28.16031	20.13609	8.65162	14.64332	12.36096	0.0	0.01216	2.26276	0.0117	0.02266	0.06531	1.70295	3.53627	2.1895	8.68897	7.25922	1.7521
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	9.56789	4.04049	3.08593	6.50601	11.79106	7.63073	0.82575	4.02205	2.1447	19.44574	0.96775	0.6246	19.5873	23.60243	12.91421	27.58043	6.24626	8.62189
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	3.97293	0.17804	0.02299	0.89366	0.01705	0.00181	0.12855	0.0	0.0	0.002	0.00973	0.0	0.64305	0.40103	0.16826	0.11594	0.10541	0.47177
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	3.28025	0.0	0.22304	0.12512	0.1347	0.0	10.57502	0.0	0.26386	0.0	0.0	7.6915	0.00724	0.0	0.05526	0.0	0.0	0.24465
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	3.2477	0.01162	1.05872	0.69775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00179	0.02347	0.02234	0.05439	0.00376	0.30696	0.51432
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	1.93409	1.62273	1.14435	3.3243	1.63651	0.41569	9.023	0.03004	2.26016	4.86858	0.001	0.97174	4.58879	3.34256	4.38214	6.89025	0.82745	3.25512
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	1.72841	0.35217	0.14496	1.88879	2.71103	0.80857	16.82313	74.91785	63.57563	13.72828	7.77488	9.79173	0.81781	0.5901	0.23109	0.02298	3.52164	3.94959
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	1.47866	1.48994	0.11686	1.79955	1.92524	0.23807	0.0	0.00251	2.56466	0.0	0.06635	2.82603	0.84746	0.06462	0.71134	0.26607	0.0	2.27107
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	0.95867	2.31043	4.17217	1.44894	1.9122	7.98548	5.34866	4.33921	0.38012	4.12451	0.0	0.70626	0.43468	0.48854	0.60729	0.66315	0.03902	0.30833
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	0.92637	15.84198	0.03329	5.21813	1.33234	0.08709	10.6544	0.38891	0.00731	18.17741	0.38155	0.0789	1.05659	10.49484	0.00343	1.7563	0.52921	0.61803
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	0.88712	0.45367	0.63361	0.07472	1.42091	0.1017	0.0	0.00767	0.47688	0.03281	0.00208	0.51992	3.73229	0.92744	0.29141	3.60395	0.63515	1.65456
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	0.54014	0.44799	1.57919	1.50223	0.3157	0.2602	0.0	0.0	0.37507	0.0	0.0	0.00015	0.82798	1.16991	0.44493	0.09098	0.01054	1.10655
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.45171	0.08836	0.1955	0.09863	0.48424	1.66157	1.07012	0.02204	0.03514	0.0583	0.13373	0.20327	1.83736	0.43993	0.6447	0.15978	1.78145	2.02661
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.4178	0.42346	0.11152	0.01493	0.2579	0.02634	0.82141	0.0	0.215	0.0	0.54425	0.0	1.10465	0.40914	0.42775	0.39876	2.29949	0.52971
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	0.34113	0.0	0.0	0.0929	0.0	1.01826	0.0	0.0	1.35705	0.0	0.0	0.0	0.09199	0.01889	0.0	0.80591	0.01611	0.06287
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.28014	0.23049	0.29528	0.63975	0.83043	0.25323	0.0	0.25614	0.17796	0.0	0.08887	0.08458	1.09813	3.76273	0.62239	0.21372	0.05727	0.68557
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	0.1205	0.0	0.00027	0.0	0.0	0.0	0.00168	0.0	0.0	0.0	0.0	0.0	0.0	0.00306	0.0	0.0	0.0	0.00277
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	0.09171	0.00639	0.0	0.01272	0.0	0.0	0.1135	0.00865	0.0	0.96647	0.32303	0.00221	0.23235	0.03423	0.00132	0.00928	0.02039	0.09402
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507|f__FGB1507	0.08837	0.0	0.02997	0.03845	0.00353	0.0	0.0	0.0	0.0	0.0	0.0	0.00307	0.02949	0.04506	0.00412	0.09862	0.0	0.04203
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.08191	0.0	0.57176	0.01926	0.0	0.0	0.0	0.0	0.0156	0.00361	0.02177	0.0	0.02502	0.54412	0.82077	0.0	0.28237	0.11639
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.07824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00257	0.0	0.0008	0.0	0.00095	0.00025
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	0.0741	0.00052	0.02389	0.07426	0.00345	0.00537	0.0	0.0	0.0	0.0	0.0	0.0	0.29794	0.07288	0.01467	0.0389	0.05075	0.00723
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.05587	0.01728	0.02702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19787	0.23034	0.11879	0.0	0.00092	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0.05353	0.03213	0.02162	0.01021	0.00419	0.01784	0.08659	0.0479	0.00539	0.0	0.07984	0.03858	0.13386	1.65336	0.02425	0.06927	0.20473	0.03912
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0.05335	0.0	0.0	0.02221	0.03314	0.0	0.0	0.0	0.0	0.00052	0.009	0.0	0.00123	0.01699	0.0	0.0	0.13758	0.25091
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011|f__FGB1011	0.04204	0.0	0.0	0.01169	0.06521	0.01417	0.0	0.0	0.0	0.0	0.0	0.0	0.04189	0.05613	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.03262	0.36452	0.53428	0.86668	0.32425	1.24232	0.0	0.0	0.16315	0.29105	0.05625	0.04982	0.23322	0.13453	0.04011	0.04595	0.00419	0.54581
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.0313	0.0	1.14689	0.00813	0.01125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00698	0.3464	0.00709	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	0.03112	0.07872	0.01812	0.19226	0.24204	0.02783	0.0	0.07455	0.03831	0.0	0.0	0.0	0.11481	0.17962	0.11406	0.0189	0.01252	0.01181
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.02252	0.0	0.0	0.0	0.03863	0.0	0.00245	0.03241	0.0	0.02567	0.0	0.0	0.0	0.26505	0.09262	0.0	0.02631	0.05866
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae	0.01746	0.02824	0.04133	0.06201	0.11149	0.01339	0.0	0.0	0.14615	0.0	0.0	0.0	0.0	0.0	0.05718	0.07289	0.0	0.0675
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	0.01337	0.0	0.094	0.00868	1.26195	0.0	0.0	0.0	0.01572	0.0	0.0	0.0	0.0	0.04245	0.47477	0.0725	0.07952	0.3181
k__Bacteria|p__Firmicutes|c__CFGB9583|o__OFGB9583|f__FGB9583	0.01252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified	0.01025	0.00929	0.0	0.0	0.00677	0.0	0.04213	0.0	0.0	0.02896	0.11071	0.0	0.04229	0.00318	0.0	0.00618	0.00813	0.00749
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012	0.01015	0.0	0.0	0.0	0.14667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10321	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048|f__FGB3048	0.00866	0.1409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14785	0.0	0.24633	0.0018	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	0.00679	0.72907	0.0	0.05093	0.17149	0.40044	0.0	0.0	0.14587	3.53629	79.13992	0.0	1.93857	0.0	0.0	2.64845	13.50717	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	0.00462	0.0	0.7988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00097	0.0	0.0	0.0	0.83273	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	0.00378	0.0	0.00093	0.01112	0.19417	1.54301	0.0	0.0	0.0	0.0	0.0	0.2054	3.6782	0.23698	0.13581	10.85701	0.97891	0.36497
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified	0.00362	0.06693	0.03428	0.06864	0.11287	0.04862	0.0	0.07033	0.01959	0.0	0.0	0.0	0.0258	0.0071	0.00302	0.01586	0.0	0.02275
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227	0.00182	0.0	0.0	0.01963	0.03937	0.01556	0.0	0.0	0.0	0.0	0.0	0.0	0.00229	0.04656	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.00137	0.0	0.0	0.0	0.0	0.0	0.0	0.01465	0.0	0.51845	0.10395	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069|f__FGB3069	0.00135	0.0	0.0	0.0	0.01712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00246	0.00129	0.0	0.08053	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae	0.0012	0.03681	0.0	0.0041	0.00188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00414	0.09256	0.00413	0.00417	0.00032	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	27.32894	28.79722	34.2319	29.94303	34.56688	44.82836	5.90154	14.48774	9.77556	0.03438	0.0101	39.93952	4.93782	1.75865	3.44134	4.30087	0.37871	1.27273
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	16.65059	5.68688	10.19462	18.55287	10.94474	16.28274	1.81367	0.5176	10.32155	0.00489	9.22069	31.42366	7.53304	2.25804	1.26245	1.04838	0.12701	2.59979
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	12.13951	26.93744	19.69008	8.65162	13.57169	12.36096	0.0	0.01216	2.26276	0.0117	0.02266	0.06531	0.64604	1.74318	1.73786	2.06666	0.60363	0.14229
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter	6.03733	0.0	0.50732	0.0	1.94918	0.0	0.0	0.00401	0.0	0.0	9e-05	0.0	2.49297	7.67965	1.28987	1.68801	0.48982	1.64262
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	3.97293	0.17804	0.02299	0.89366	0.01705	0.00181	0.12855	0.0	0.0	0.002	0.00973	0.0	0.64305	0.34787	0.16826	0.11594	0.10541	0.47177
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3746	3.82063	0.0	0.0	0.64454	0.09555	0.0	0.0	0.0	0.0	0.00746	0.0	0.0	0.0	0.22484	0.09345	0.0	0.0	0.15145
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	3.28025	0.0	0.22304	0.11865	0.1347	0.0	10.57502	0.0	0.26386	0.0	0.0	7.6915	0.00724	0.0	0.05526	0.0	0.0	0.24465
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	3.205	0.01162	1.05872	0.69775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00179	0.02347	0.02234	0.05439	0.00376	0.30696	0.51432
