Family	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
f__FGB76375	0	0	0	0	0	0	0	0	0	0	0	2.76121	0	0	0	0	0	0
f__Eggerthellaceae	0.05353	0.03213	0.02164	0.01021	0.00418	0.01784	0.08659	0.0479	0.00539	0	0.07984	0.03858	0.13387	1.65337	0.02425	0.06927	0.20474	0.03912
f__Lactobacillaceae	0.08191	0	0.57176	0.01926	0	0	0	0	0.0156	0.00361	0.02177	0	0.02502	0.54412	0.82077	0	0.28237	0.1164
f__FGB38642	0	0	0	0.03041	0	0	0	0	0	0	0	0	0.0132	2.25289	0	0	0.09566	0
f__FGB76763	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02048	0	0	2.02456	0
f__Actinomycetaceae	0.0917	0.00639	0	0.01272	0	0	0.1135	0.00865	0	0.96648	0.32303	0.00221	0.23235	0.03424	0.00132	0.00928	0.0204	0.09401
f__Corynebacteriaceae	0.00462	0	0.7988	0	0	0	0	0	0	0	0	0	0.00097	0	0	0	0.83273	0
f__Staphylococcaceae	0.0313	0	1.14689	0.00813	0.01125	0	0	0	0	0	0	0	0.00698	0.3464	0.00709	0	0	0
f__Eubacteriales_Family_XIII_Incertae_Sedis	0.0741	0.00052	0.04162	0.07426	0.00345	0.01611	0	0	0	0	0	0	0.88171	0.1174	0.03923	0.11223	0.15121	0.02169
f__Coprobacillaceae	0	0.03041	0	0	0	0	0	0	0	0	0	0	0	0.15135	0	0	1.20391	0
f__FGB14936	0	0	0	0.13494	0	0	0	0	0	0	0	0	0	0	0	0	1.23788	0
f__FGB3070	0	0	0	0	0.02843	0	0	0	0	0	0	0	0	0.9329	0	0	0	0
f__FGB9120	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9072	0	0	0	0
f__FGB1354	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67676	0.16022	0	0.00922	0
f__Nitrosopumilaceae	0	0	0	0	0.2888	0	0	0	0	0	0	0	0.40336	0	0.00856	0	0	0.00704
f__FGB1779	0	0	0.70064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66947	0
f__Oxalobacteraceae	0.05587	0.01728	0.02702	0	0	0	0	0	0	0	0	0	0.19787	0.23034	0.11879	0	0.00092	0
f__Burkholderiaceae	0.00137	0	0	0	0	0	0	0.01465	0	0.51845	0.10395	0	0	0	0	0	0	0
f__Chromatiaceae	0.01746	0.02824	0.04133	0.06201	0.11149	0.01339	0	0	0.14615	0	0	0	0	0	0.05718	0.07289	0	0.0675
f__Enterococcaceae	0.02252	0	0	0	0.03863	0	0.00245	0.03241	0	0.02567	0	0	0	0.26505	0.09262	0	0.02631	0.05866
f__Methanobacteriaceae	0	0	0	0	0.00107	0	0	0	0	0	0	0	0	0	0	0	0.52159	0.0269
f__FGB3048	0.00866	0.1409	0	0	0	0	0	0	0	0	0	0	0	0.14785	0	0.24633	0.0018	0
f__Atopobiaceae	0.05335	0	0	0.02222	0.03314	0	0	0	0	0.00052	0.009	0	0.00123	0.01699	0	0	0.13758	0.25091
f__FGB3068	0	0	0.03335	0	0	0	0	0	0	0	0	0	0	0.09876	0.14676	0	0.13741	0.06761
f__FGB9989	0	0	0.0667	0	0	0	0	0	0	0	0	0	0.21694	0	0.14403	0	0	0.01416
f__Peptoniphilaceae	0	0	0	0	0	0	0	0	0	0	0	0.17581	0	0.19254	0.05189	0	0	0
f__FGB1507	0.08837	0	0.02997	0.03845	0.00353	0	0	0	0	0	0	0.00307	0.02949	0.04506	0.00412	0.09862	0	0.04203
f__FGB76759	0	0.36848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB2830	0.05531	0	0.12583	0	0	0	0	0	0	0	0	0	0	0.10151	0	0	0	0
f__Morganellaceae	0	0	0	0	0	0	0	0.18295	0.08467	0	0	0	0	0	0	0	0	0
f__FGB1359	0	0	0.00147	0.01579	0	0	0	0	0	0	0	0	0	0.07365	0.02138	0	0.14891	0
f__FGB3012	0.01015	0	0	0	0.14667	0	0	0	0	0	0	0	0.10321	0	0	0	0	0
f__FGB1292	0	0.08632	0	0	0	0	0	0	0	0.0081	0	0	0	0	0	0	0.14662	0
f__FGB16911	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19843	0	0	0.02357	0.01515
f__FGB1011	0.04204	0	0	0.01169	0.06521	0.01417	0	0	0	0	0	0	0.04189	0.05613	0	0	0	0
f__Bradyrhizobiaceae	0	0	0	0	0	0	0	0.00175	0	0.15926	0.03379	0	0	0	0	0	0	0
f__FGB540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18698	0	0
f__FGB2987	0.05948	0	0	0	0	0	0	0	0	0	0	0	0	0.09473	0	0	0	0.03159
f__FGB2982	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01231	0.15414	0	0.01007	0
f__Christensenellaceae	0.0012	0.03681	0	0.0041	0.00564	0	0	0	0	0	0	0	0.0112	0.09748	0.00454	0.00417	0.00032	0
f__FGB8822	0	0	0.16535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Turicibacteraceae	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.00784	0	0	0.001	0.14598
f__Synergistaceae	0	0	0	0	0.05528	0.00016	0	0	0	0	0	0	0.09642	0	0.00184	0	0	0
f__FGB1227	0.00182	0	0	0.01963	0.03937	0.01556	0	0	0	0	0	0	0.00229	0.04656	0	0	0	0
f__FGB3047	0	0	0.00308	0.01811	0	0	0	0	0	0	0	0	0.07474	0.01897	0	0	0.00347	0.00515
f__FGB544	0	0	0.12138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Akkermansiaceae	0	0	0.00374	0	0	0	0	0	0.00216	0.00423	0	0	0.02271	0	0	0	0.06871	0.01161
f__FGB4559	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02002	0	0	0.03782	0.04875
f__FGB15212	0	0	0	0	0	0	0	0	0	0	0	0	0.02403	0.07875	0	0	0	0
f__FGB3069	0.00135	0	0	0	0.01712	0	0	0	0	0	0	0	0	0.00246	0.00129	0	0.08053	0
f__FGB2107	0	0	0	0	0.0022	0	0	0	0	0.01938	0.06963	0.00607	0	0	0	0	0	0
f__FGB2954	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09139	0	0	0	0
f__Sphingomonadaceae	0	0	0	0	0	0	0	0	0	0.03907	0.00607	0	0	0	0	0.02389	0.01916	0
f__Carnobacteriaceae	0.07824	0	0	0	0	0	0	0	0	0	0	0	0.00257	0	8e-04	0	0.00095	0.00025
f__FGB1226	0	0	0.04153	0	0.01501	0	0	0	0	0	0	0	0	0	0.00262	0.02259	0	0
f__Sphingobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07801	0
f__Micrococcaceae	0	0	0	0	0	0	0	0	0	0.01897	0.01193	0	0.00309	0.01379	0.01242	0	0.017	0
f__FGB9301	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0764	0	0	0	0
f__FGB72924	0	0	0.01039	0	0	0	0	0	0	0	0	0	0	0.06374	0	0	0	0
f__FGB1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06133	0	0	0.0085
f__FGB2932	0	0	0.06838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Candidatus_Sacchiramonaceae	0	0	0	0	0.00527	0	0	0	0	0.01277	0.03874	0	0.00113	0	0	0	0.00895	0.0012
f__FGB75721	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05517	0.00859	0	0	0
f__Comamonadaceae	0	0	0	0.05146	0	0	0	0	0	0.00768	0.00046	0	0	0	0	0	0	0
f__FGB9718	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01779	0	0	0.02573	0.01526
f__FGB10477	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.04713	0	0	0.00714	0
f__FGB4881	0	0	0	0	0.02095	0	0	0	0	0	0	0	0.03273	0	0	0	0	0
f__FGB15209	0	0	0	0.04052	0	0	0	0	0	0	0	0	0	0	0.01118	0	0	0
f__Brucellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04664	0	0	0	0
f__Helicobacteraceae	0	0	0	0	0	0.0434	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB618	0	0	0	0	0	0	0	0	0.00205	0	0	0	0	0	0	0	0.04044	0.00071
f__Porphyromonadaceae	0	0	0.00045	0	0.00126	0	0	0	0	0	0	0	0.00059	0	0	0	0.03603	0
f__FGB45507	0	0	0.0034	0.02743	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB1126	0	0	0.01581	0	0.0103	0	0	0	0	0	0	0	0.00034	0.00326	0	0	0	0
f__FGB32970	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02859	0	0	0	0
f__FGB9581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02716
f__FGB59744	0	0	0.00532	0	0.01708	0	0	0	0	0	0	0	0.00245	0	0	0	0	0
f__Aeromonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00963	0	0	0.01326	0
f__FGB45503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02276	0
f__FGB76388	0	0	0	0	0	0	0	0	0	0	0	0	0.02256	0	0	0	0	0
f__FGB1798	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02216	0	0	0	0
f__Sanguibacteraceae	0	0	0	0	0.02024	0	0	0	0	0	0	0	0	0	0.00037	0	0	0
f__Campylobacteraceae	0	0	0	0.0199	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB3004	0	0	0	0	0	0.01513	0	0	0	0	0	0	0.00347	0	0.00064	0	0	0
f__FGB1262	0	0	0	0	0.00691	0	0	0	0	0	0	0	0	0.00954	0	0	0	0
f__FGB1213	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01274	0.00346	0	0	0
f__Rhodobacteraceae	0	0	0.00124	0.01491	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB76046	0	0.00501	0	0.00667	0	0	0	0	0	0	0	0	0	0	0	0.00346	0	0
f__FGB1538	0	0	0	0	0	0	0	0	0	0	0	0	0.00887	0.00494	0	0	0	0
f__FGB593	0	0	0	0	0	0	0	0	0	0	0	0	0.01328	0	0	0	0	0
f__FGB9583	0.01252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB1425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01191	0
f__FGB2881	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01074	0	0	0	0.00107
f__Peptococcaceae	0	0	0.00934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__FGB1422	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00847	0	0	0	0
f__FGB76222	0	0.00686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Methylobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00343	0	0	0	0
f__FGB2915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00192	0	0	0
f__Promicromonosporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00165
f__Victivallaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00149	0	0	0	0
f__FGB2429	0	0	0	0	0	0	0	0	0.00146	0	0	0	0	0	0	0	0	0
f__Gordoniaceae	0	0	0	0	0	0	0	0	0	0.00127	0	0	0	0	0	0	0	0
f__FGB2801	0	0	0	0	0	0	0	0	0	0	0	0	0.00094	0	0	0	0	0
f__Muribaculaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e-04	0	0
f__Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00035	0
f__FGB3529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00033	0
