Phylum	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
Candidatus_Absconditabacteria	10	45	60	20	60	15	0	0	0	0	0	15	75	0	25	50	0
Ignavibacteriota	32	23	17	7	21	56	3	20	7	14	14	15	9	10	20	13	6
Bacillariophyta	13	18	26	16	13	34	5	6	4	7	32	12	13	4	22	9	19
Candidatus_Nanohaloarchaeota	0	12	6	6	0	12	0	0	0	0	48	0	24	108	0	12	0
Chrysiogenota	13	29	11	19	7	11	9	8	31	45	0	6	8	0	7	12	10
Phixviricota	0	137	17	0	6	0	0	0	4	47	0	0	0	0	0	0	0
Nitrospinota	26	12	2	27	11	8	11	31	27	11	0	0	0	0	1	3	15
Evosea	17	25	12	26	10	15	2	1	0	6	6	11	11	15	13	7	0
Calditrichota	8	8	0	9	11	6	6	33	24	24	2	1	10	0	17	8	4
Dictyoglomota	4	35	20	10	3	5	0	1	1	0	3	4	14	1	33	5	8
Candidatus_Fervidibacteria	9	24	0	3	0	9	0	6	48	6	0	3	6	0	9	9	3
Caldisericota	0	9	19	1	0	19	0	1	0	2	5	9	8	15	17	0	27
Fornicata	1	0	2	11	6	78	3	3	0	0	0	23	1	0	0	0	2
Balneolota	8	21	16	1	8	2	6	7	8	0	0	2	12	0	2	1	1
Atribacterota	3	15	6	1	1	16	0	30	0	3	1	0	7	1	3	3	4
Preplasmiviricota	0	19	1	7	27	12	0	0	5	1	0	20	0	1	0	0	0
Lentisphaerota	1	10	7	4	3	7	2	10	1	13	2	0	15	0	0	0	2
Coprothermobacterota	1	2	1	0	7	10	2	1	3	4	0	0	2	0	0	0	1
Candidatus_Micrarchaeota	0	0	0	0	0	0	0	0	0	0	0	27	0	3	0	0	0
Peploviricota	0	0	8	2	4	5	5	1	0	1	1	0	0	1	1	0	1
Negarnaviricota	6	6	2	1	0	5	0	0	0	0	3	0	2	0	0	2	1
Cossaviricota	0	1	0	0	1	0	0	0	2	0	0	0	1	0	14	0	2
Microsporidia	0	1	0	8	1	2	0	2	2	0	0	0	4	0	0	0	0
Kitrinoviricota	0	1	3	0	5	3	0	0	0	0	0	0	0	2	0	0	5
Duplornaviricota	0	4	1	0	6	0	0	0	0	0	0	1	0	0	3	0	0
Pisuviricota	1	2	1	2	2	2	0	1	0	0	0	1	0	0	0	0	1
Ciliophora	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	2	0
Cercozoa	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
Hofneiviricota	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lenarviricota	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0
Nanoarchaeota	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0
Cressdnaviricota	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
