Genus	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
Simiaoa	9266	74796	67443	229149	110035	178311	472	2866	3877	2037	16920	14992	24867	15334	15052	11399	85907
Fusobacterium	19376	2949	30247	194969	161463	107663	89	47	38	231676	2301	403	1525	419	430	339	519
Enterobacter	13049	126467	148740	662	178628	13389	8235	5345	6727	12948	59	1144	408	165	113486	53758	862
Hungatella	376380	6495	4800	5642	9339	8331	1791	8308	2283	186631	5086	8092	6364	15319	6187	10619	22247
Lachnospira	5665	77632	44123	129512	53266	271835	142	205	135	837	10244	11645	5977	2761	8190	3649	28346
Cloacibacillus	8517	2183	400	41	497	192	3169	46142	14578	530246	38	85	97	42	37	185	13896
Romboutsia	1571	93371	23811	43465	115947	49746	67	27	12	8	30738	6825	110560	141	86202	28186	1849
Akkermansia	265304	577	252	187	385	390	7154	235154	67195	3704	957	352	277	454	243	706	709
Eubacterium	21501	23612	18599	18696	56416	49447	3591	8819	4467	8589	36374	33795	22251	58078	21129	28050	131008
Ruminococcus	18446	25805	14716	13015	14842	43201	1542	3972	5264	9105	67776	71535	57575	64589	39487	59214	7403
Ruthenibacterium	118493	16374	11172	5249	10121	13732	36292	45415	25588	114771	4495	5463	14917	6871	3045	5221	77209
Methanobrevibacter	494694	40	2700	36	124	1065	24	2236	5015	3391	30	27	71	30	44	22	21
Clostridium	70487	87968	45344	78128	13023	21513	6478	28489	3263	5228	14468	10433	19317	14368	35822	25164	23314
Thomasclavelia	62831	33450	8192	5784	18276	39069	3984	2848	5271	21710	15537	14119	26565	126338	16337	10882	31391
Wujia	17167	140895	75153	3249	25489	27669	68	76431	2793	179	4902	3410	5203	1588	12273	26816	16104
Lachnoclostridium	13522	8682	8972	14490	32573	29245	2579	4395	2094	25333	29682	29320	31832	79536	25008	49588	29087
Adlercreutzia	676	10619	31604	354	826	920	5362	3172	250	15902	334	12929	156010	15	16670	148607	927
Dysosmobacter	45014	18898	9794	5804	7852	10109	12813	15399	54603	23774	3059	4147	4788	4161	2361	2607	128521
Enterocloster	31466	14104	9713	9447	16828	27115	3651	16417	11938	16754	19408	21840	20099	17948	22243	18950	75775
Clostridioides	18997	23287	10390	10116	17106	13790	11335	6507	4994	11407	35219	19387	25016	42145	37697	22861	38729
Homo	1767	25394	23466	29762	27363	23302	1466	912	1141	1563	22729	21881	48354	24098	57736	24407	2557
Shigella	13266	1375	1035	16	109	64	32318	19615	253264	12213	13	138	169	6	546	1007	25
Flavonifractor	41768	33087	38664	11317	24456	21370	8338	16602	23288	25231	8331	8266	6000	7243	2766	5282	43330
Eggerthella	617	1922	4910	21411	4262	4530	2978	1723	492	45643	124812	11851	15450	16010	9730	44475	5102
Enterococcus	2271	116628	118655	1447	4061	2522	345	1260	311	3413	13072	4065	28368	3713	2759	8500	2661
Subdoligranulum	23031	8986	10483	10469	15819	19063	6037	6837	6313	20878	12307	30572	31133	4279	21344	61759	10005
Prevotella	5398	36036	22644	157350	29475	12838	319	905	5330	995	134	972	5947	550	10906	1421	3293
Odoribacter	29623	118380	3838	41276	6172	6736	175	62557	10229	6924	4	766	3035	252	448	267	91
Comamonas	163	259706	955	146	378	201	143	118	257	285	60	272	201	35	76	139	113
Anaerotruncus	38680	14208	7284	7054	5831	5349	2214	6041	3750	5051	5028	11221	6767	5128	21946	21788	64365
Intestinimonas	50709	15577	6930	2776	3490	5819	9009	29498	30206	34106	873	1363	3083	656	1782	2172	20939
Catenibacterium	6820	1276	1152	1096	74921	2914	56	45	133	127	6634	5647	99292	6606	4645	5656	1951
Citrobacter	9132	13879	17749	92	1219	1691	9962	5354	118861	7625	51	11728	308	92	4406	863	413
Aeromonas	220	583	206	169	170	217	1385	298	627	194186	52	219	249	32	124	192	208
Lactococcus	132	1427	151363	908	1251	6008	319	53	24	54	2609	5422	25911	167	2163	1037	87
Haemophilus	104	1791	4096	7068	24145	17826	12	27	30	16	27	109321	67	407	5664	1312	129
Oscillibacter	24119	7723	3660	2171	3025	36355	4607	10394	27387	12928	756	1713	3119	992	2168	2476	28035
Lactobacillus	222	625	510	384	723	499	12227	43926	46	198	2057	895	1455	105570	592	438	205
Pyramidobacter	315	188	81	64	96	69	62563	26351	73715	3209	97	32	117	10	74	65	101
Kluyvera	291	8411	76225	199	380	216	954	572	500	77248	1	853	283	3	170	62	102
Actinomyces	1245	8978	8180	3141	4491	2625	4471	1355	334	15202	30106	32476	19512	7493	14271	6602	483
Weissella	56	15128	75697	135	7247	483	44	50	20	120	162	21176	34429	1393	2101	280	60
Pusillibacter	13871	7179	3974	2373	2271	3208	3084	6387	9131	8554	2338	5263	2236	5214	1774	2125	67964
Raoultella	4143	702	127204	70	548	4361	1067	689	855	1180	5	180	81	5	107	275	83
Butyricimonas	10728	65015	2810	1637	5266	18648	651	8130	13932	1339	118	99	761	111	195	237	3206
Staphylococcus	781	107906	1516	559	1241	947	538	232	346	501	1574	1284	4864	409	1356	823	802
Schaalia	727	2213	5253	2626	8179	3363	2169	252	334	4396	36513	13318	11789	5640	13881	8477	727
Limosilactobacillus	7836	405	254	352	520	345	6538	74794	155	12759	2192	225	926	6465	1935	287	164
Rothia	291	1142	1837	13147	1811	910	157	81	302	1181	4221	63647	4290	2261	13340	1549	2571
Butyrivibrio	3198	5185	11414	7709	7003	12668	264	1146	958	1565	4218	5272	5206	7978	4364	4668	17959
Sutterella	113	3295	777	16640	48466	3138	44	235	21523	1506	3	21	391	8	53	15	218
unclassified	7045	4136	2701	2524	2510	4030	1831	2815	1633	6601	15952	3008	5899	4651	3486	7418	15764
Lawsonibacter	15791	5933	7779	2505	5576	2881	6872	8065	8694	12045	250	853	2578	282	1047	740	6721
Flintibacter	7985	5030	3259	3410	4589	3342	2406	5106	4717	8610	4953	3540	2924	4733	2099	2080	12685
Dialister	114	199	77	52	172	230	51	309	115	203	2	47	174	6	71871	37	90
Megasphaera	385	555	9523	284	856	448	168	536	18732	988	360	542	605	56	10016	554	28331
Gordonibacter	330	1431	1864	3793	1135	1128	1337	455	318	5176	1930	6473	38073	535	1562	3899	927
Lacrimispora	6195	3707	3089	3154	4894	6307	594	2315	1560	1712	2525	3933	5093	4530	4706	8011	5872
Marvinbryantia	3024	2171	2811	3038	3958	4787	495	1049	571	1212	4267	7362	6372	8079	4190	8115	4059
Wansuia	6013	2935	1977	1589	2709	3636	681	1467	285	3306	4510	1790	8284	6299	2914	8385	6158
Peptacetobacter	66	44657	5864	127	9362	413	12	11	9	24	162	160	361	92	229	413	93
Paraprevotella	13651	6313	4971	8601	6568	12965	37	1207	1013	2106	15	113	1122	1053	432	940	481
Leuconostoc	38	1283	18863	8676	485	295	4	10	10	5	61	184	9460	26	10813	222	32
Campylobacter	800	2202	1735	1739	1279	2523	259	359	382	997	12626	1249	1882	5044	10448	5804	1075
Salmonella	3560	947	2261	53	332	280	18995	5258	10349	6883	9	149	90	14	416	361	46
Ligilactobacillus	1036	1165	2594	587	841	1288	423	245	60	468	24495	2304	1955	4733	3230	2090	1021
Raoultibacter	312	3646	629	980	524	415	669	414	273	13278	823	2577	18991	45	322	4359	125
Amedibacterium	1642	569	1063	903	3489	2886	280	39	134	97	6363	4997	4611	1975	14624	1764	2018
Sellimonas	1167	1389	1350	1787	2610	3126	239	419	319	611	5613	3395	3972	3810	12772	3367	1477
Paenibacillus	3217	3259	2226	2109	2341	3169	1022	2193	2564	3675	1525	2228	3075	2286	2674	2337	3069
Massilistercora	9594	1191	1528	1625	2207	2626	1522	729	671	2482	1547	2367	2627	3107	1274	2009	4269
Burzaovirus	0	0	10	13	55	38661	0	0	0	0	0	1346	0	0	0	0	0
Solibaculum	2650	1256	849	471	611	1347	460	19475	1647	1576	2385	794	1046	926	684	888	2970
Emergencia	1394	652	360	688	728	632	476	702	476	7658	1086	542	1608	760	410	1096	19718
Novisyntrophococcus	1248	1600	1178	1490	2497	3394	63	710	128	309	1302	1342	2832	1318	2322	1877	14750
Corynebacterium	1503	3072	1682	1277	1330	947	912	1183	1345	3072	2703	6925	3848	796	3923	2121	1292
Longicatena	2553	1157	2250	1844	2042	2076	47	308	596	182	1779	4136	3437	6346	2357	3071	1483
Carjivirus	21025	7928	11	74	3042	2745	1	0	1	1	0	0	8	0	8	0	1
Qiania	2161	1566	1476	1060	1736	1968	254	1009	1101	808	3265	3340	1944	2953	2764	2689	4286
Gemella	929	2152	1262	954	1933	1687	90	45	6	42	4764	10490	5852	2243	286	1025	356
Veillonella	1685	701	2714	3312	524	4670	18	385	64	71	1841	13743	462	226	1307	311	1832
Streptomyces	3165	2445	1143	1031	1274	1774	2096	2286	2600	4727	1203	1728	1743	318	1092	2116	1618
Jedunavirus	0	0	40	9	28770	183	0	0	0	4	0	0	0	0	0	0	0
Turicibacter	526	718	6840	2527	511	538	129	39	15	23	7894	404	534	523	658	5479	776
Olsenella	1039	1254	1393	375	772	443	2225	663	839	3443	5286	2924	1616	2371	775	1286	360
Pseudomonas	1714	1887	1129	1485	1122	6698	791	1183	1856	2513	631	999	1282	347	860	1147	1417
Mogibacterium	510	800	717	483	572	785	352	192	226	829	9716	993	3620	3146	1579	1015	1196
Anaerocolumna	374	1297	2320	2128	1935	3806	168	143	91	206	1935	2164	2538	2094	1843	1816	1343
Hoylesella	488	3076	964	16265	3064	668	19	104	394	61	66	36	449	10	130	184	179
Arachnia	64	2591	1783	384	328	708	308	73	58	346	9385	2471	2756	810	304	2345	181
Christensenella	1457	1064	332	184	337	1011	723	963	574	3376	403	1109	1769	113	216	1202	8867
Acutalibacter	3612	1116	676	596	659	1124	895	1618	1280	1895	621	975	1559	1401	571	1915	3125
Webervirus	0	13	9	8	75	23451	0	0	0	42	0	0	0	0	0	4	0
Propionibacterium	194	151	119	30	97	81	944	92	191	1610	2693	113	4248	2263	10478	94	82
Lactiplantibacillus	39	198	312	80	107	117	12	23	6	118	58	175	20515	117	191	102	172
Brigitvirus	65	6259	5	10129	4670	259	31	57	0	0	0	174	5	0	2	413	0
Granulicatella	241	669	1298	368	905	570	3	20	6	10	7152	4013	1722	1211	2459	564	490
Leclercia	457	655	2214	60	9030	303	1037	607	799	1498	1	64	30	1	116	192	29
Claveliimonas	771	868	936	995	2048	2089	179	296	361	289	1034	947	1583	978	1270	1016	1076
Treponema	1632	1078	775	696	671	892	346	530	531	750	368	2467	1076	502	597	1822	1355
Lachnoanaerobaculum	325	687	864	970	937	1403	27	52	52	195	2361	1252	1670	1749	1006	1780	623
Maliibacterium	2582	714	405	244	400	486	688	2375	2027	1812	152	240	1491	78	475	509	1075
Bacillus	555	1353	1192	1070	1044	1554	342	333	228	778	600	933	1537	664	1359	826	945
Candidatus_Nanosynbacter	1981	601	278	158	337	823	103	69	16	116	4426	387	407	618	591	2429	1841
Saccharomyces	22	12	14	5	34	21	10	17	6	17	8	984	27	13170	20	145	13
Fohxhuevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14360	8	0
Achromobacter	219	285	1443	490	1196	3703	99	126	270	240	404	322	1673	289	1784	714	177
Porphyromonas	356	1054	1083	5425	799	819	55	738	682	543	110	108	196	111	108	118	103
Aristaeella	1379	858	442	393	427	644	713	1194	1484	1480	228	465	706	95	423	454	866
Oxalobacter	111	3601	65	37	62	189	4734	164	1425	266	46	41	354	24	185	97	787
Caproicibacterium	1160	962	407	653	537	825	277	977	735	1137	237	688	880	146	588	616	1229
Monoglobus	546	693	458	547	1038	673	107	319	160	467	2612	659	470	281	897	626	793
Acidaminococcus	738	258	668	365	141	199	827	157	3101	1450	6	236	115	73	2147	58	770
Parolsenella	318	1064	680	171	585	185	861	200	420	949	2120	146	1095	15	1111	900	210
Chordicoccus	1267	617	380	383	424	869	379	859	892	1277	307	438	601	202	359	323	850
Pseudobutyrivibrio	157	558	1330	865	1118	1504	27	38	22	105	465	783	781	257	582	814	953
Kosakonia	453	567	2111	104	168	126	1397	913	2166	1472	91	48	107	171	90	80	32
Microbacterium	897	532	325	271	287	293	1862	508	927	1639	298	604	578	49	245	331	390
Coprobacter	554	1487	276	362	3365	1841	13	779	695	100	11	98	85	25	31	22	156
Selenomonas	1118	878	398	408	276	691	501	710	794	1201	295	479	511	132	389	579	503
Paeniclostridium	92	1951	704	625	1916	721	108	35	4	22	432	97	1354	125	1069	422	182
Sodaliphilus	162	1401	588	2591	1216	268	62	228	590	64	20	22	243	51	1684	42	362
Cronobacter	421	285	957	4	110	66	772	444	643	771	1	39	8	5	4958	54	29
Aminipila	771	989	473	539	448	532	206	734	248	447	484	524	1069	212	521	616	467
Flavobacterium	311	667	560	1496	1118	843	206	302	395	129	290	508	759	567	474	253	333
Kineothrix	201	572	1072	733	665	1165	10	46	27	91	624	451	900	958	478	637	522
Vibrio	849	770	566	1107	559	900	197	240	388	261	243	442	804	159	560	355	467
Pluralibacter	176	197	3400	29	2419	68	630	355	292	844	27	94	54	11	104	122	25
Ethanoligenens	1610	610	283	205	188	343	334	915	1085	825	85	273	333	30	250	368	887
Bradyrhizobium	605	658	296	375	243	427	532	531	858	1262	262	250	428	129	361	370	953
Butyricicoccus	13	432	777	540	1441	1355	8	5	8	115	1103	193	1012	119	87	520	743
Lughvirus	53	146	53	106	838	38	4	97	6	0	0	1252	199	0	4379	505	546
Stomatobaculum	747	389	405	331	358	630	121	220	274	381	268	397	754	1091	349	708	441
Anaeromicropila	93	333	1126	631	763	1400	44	29	26	7	428	383	581	614	389	164	426
Aggregatibacter	38	101	89	884	519	1729	15	24	34	16	4	3751	14	5	127	31	38
Efbeekayvirus	7416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas	523	545	265	577	306	390	230	466	702	1191	195	247	453	67	230	567	436
Komagataeibacter	176	215	192	143	257	206	61	126	141	133	1890	951	443	245	931	1082	193
Pediococcus	27	146	176	53	122	28	16	19	22	7	234	167	5958	8	143	101	38
Arthrobacter	691	533	273	250	331	344	297	562	517	1158	246	296	381	59	408	344	463
Rhizobium	875	451	334	249	210	443	286	570	624	879	196	205	283	51	230	540	561
Paraclostridium	227	1334	438	422	923	564	0	5	4	24	291	83	1094	17	968	369	128
Nocardioides	897	514	216	303	331	273	437	414	589	1042	356	278	340	33	253	318	280
Barnesiella	341	626	366	819	818	978	176	922	1093	262	2	104	64	85	17	19	127
Mycolicibacterium	627	445	241	296	247	409	374	379	635	735	297	408	605	83	254	405	298
Deinococcus	946	544	159	301	318	339	409	548	690	812	185	233	291	50	144	319	367
Hymenobacter	521	523	299	760	562	289	261	651	704	713	64	204	312	14	197	254	282
Mycobacterium	565	423	338	362	383	360	395	421	670	806	215	335	316	29	284	318	338
Anaerotignum	404	656	322	445	415	825	37	221	158	255	283	226	275	1188	190	298	323
Slackia	346	424	404	161	328	402	443	381	284	969	244	136	365	5	466	878	271
Pantoea	261	966	902	228	219	202	288	363	244	765	106	132	196	22	990	380	197
Pauljensenia	34	216	403	54	130	87	97	0	7	550	2110	726	506	270	385	859	13
Atopobium	91	95	105	33	63	32	872	79	68	109	967	156	600	2521	167	232	68
Taranisvirus	0	800	161	298	7	155	80	0	201	84	0	3801	4	0	4	5	636
Chryseobacterium	262	544	438	1112	676	542	202	155	404	109	253	280	352	187	297	166	226
Allobaculum	307	301	223	193	598	482	23	146	134	290	28	657	1824	200	567	125	62
Terrisporobacter	106	753	986	526	584	437	119	20	0	19	197	123	609	13	694	345	610
Pseudodesulfovibrio	716	588	149	434	162	254	334	422	860	842	40	194	197	12	151	119	598
Caproicibacter	758	304	263	144	88	363	257	456	531	866	62	340	270	82	203	306	706
Methanosphaera	1181	40	4138	28	183	151	35	7	1	59	0	5	119	23	4	0	5
Parvimonas	678	761	353	261	705	590	44	112	68	23	309	491	198	460	421	326	163
Arabiibacter	215	524	684	325	453	194	687	176	185	523	124	192	736	4	311	435	102
Pseudocitrobacter	318	113	980	3	28	159	1163	778	1280	900	2	19	10	1	16	53	1
Caproiciproducens	667	345	135	147	141	271	327	505	626	817	125	242	281	30	269	384	487
Mageeibacillus	1773	337	147	199	123	391	54	486	360	1366	21	41	98	23	92	53	184
Buchavirus	0	0	4	0	4	0	0	0	10	0	0	0	2	0	0	9	5695
Neobacillus	150	382	365	356	336	551	91	163	181	102	274	592	532	625	343	209	311
Allocoprobacillus	432	496	158	48	570	198	36	6	5	44	382	185	570	552	1097	550	55
Cupriavidus	453	389	114	456	132	182	272	257	591	364	136	181	143	22	1180	340	167
Berryella	192	517	619	105	414	166	548	219	264	642	235	160	483	7	277	380	117
Plesiomonas	126	27	271	4	5	9	90	138	1381	3159	8	12	10	2	16	34	3
Faecalibaculum	138	248	247	182	433	376	38	99	108	147	95	805	1487	76	372	352	88
Muribaculum	510	454	488	808	460	500	53	703	559	256	8	76	98	17	123	37	111
Acinetobacter	201	274	473	412	352	440	143	137	892	158	174	211	437	332	198	215	207
Burkholderia	484	388	192	328	199	315	309	258	644	732	114	241	244	53	159	254	319
Brevibacillus	381	404	263	180	245	289	117	169	359	394	107	170	334	67	310	819	508
Micromonospora	559	375	175	158	223	287	350	296	499	387	156	241	369	93	230	318	323
Paraburkholderia	440	333	260	297	271	285	210	346	333	712	114	156	214	44	171	273	371
Neisseria	276	215	140	194	183	439	73	369	258	340	94	1334	184	58	98	151	169
Yokenella	277	71	692	10	52	15	772	761	1264	572	0	12	2	0	21	22	3
Parafannyhessea	261	207	253	68	262	161	285	145	213	653	696	132	477	40	357	213	116
Paracoccus	430	309	188	381	378	206	284	209	410	434	68	190	235	108	169	263	261
Cedecea	335	141	892	26	68	43	708	457	431	1047	9	63	27	6	49	112	53
Halomonas	543	350	231	339	156	255	204	291	419	390	122	132	261	59	219	251	241
Synechococcus	374	316	138	385	156	179	174	331	360	609	114	168	251	159	163	193	300
Kocuria	123	509	26	23	481	55	59	31	85	59	189	388	2048	38	129	80	43
Murdochiella	240	421	108	186	310	280	69	150	108	338	216	393	135	146	288	355	606
Mesorhizobium	332	330	176	298	259	277	180	207	372	458	116	244	235	105	238	234	220
Nocardia	330	386	129	168	208	202	250	299	451	752	58	169	162	21	213	286	182
Lancefieldella	287	151	92	53	119	86	51	65	77	832	808	164	274	242	757	92	82
Serratia	498	315	695	118	228	262	225	220	235	482	39	67	149	37	123	168	259
Sphingobacterium	122	364	265	1138	475	231	39	76	149	48	88	186	341	181	183	107	116
Amycolatopsis	424	306	176	267	146	190	221	277	409	531	197	217	231	9	140	144	148
Trueperella	256	282	148	170	182	114	132	194	240	515	286	309	395	82	214	238	159
Intestinibaculum	166	297	275	129	253	148	40	21	46	40	575	184	404	414	179	403	264
Rhodococcus	335	300	124	185	100	149	348	188	665	536	165	117	260	25	84	86	143
Petrimonas	28	499	326	2161	294	87	13	32	92	79	1	10	135	8	6	18	12
Lacticaseibacillus	56	188	75	38	52	97	20	92	79	41	219	91	2396	104	61	56	123
Scandinavium	423	62	375	12	26	6	1055	568	547	615	3	27	12	1	8	28	16
Thermocaproicibacter	769	181	44	138	107	124	196	426	248	369	77	162	187	9	96	159	414
Vallitalea	44	125	389	159	231	474	124	54	21	10	326	361	260	471	217	312	118
Massilia	252	267	81	229	200	264	142	175	318	285	215	219	244	235	207	175	117
Shewanella	106	214	272	228	155	275	41	103	142	168	261	151	311	435	219	275	215
Thermaerobacter	623	277	112	109	169	172	236	389	374	552	3	88	142	0	42	45	197
Planococcus	218	241	204	184	239	341	44	138	168	212	130	290	348	137	253	190	189
Paludihabitans	312	339	122	129	201	204	19	144	350	152	129	140	201	132	72	130	679
Vagococcus	66	230	241	158	327	239	109	22	16	43	166	194	592	144	271	232	364
Candidatus_Profftia	117	48	8	4	14	16	1136	1039	832	59	4	4	40	2	14	54	12
Mucilaginibacter	167	296	299	668	354	314	26	122	237	89	102	81	213	31	106	86	188
Xiamenia	98	308	472	135	315	100	355	67	92	326	148	134	241	7	156	223	103
Brevibacterium	329	181	77	56	280	130	292	126	145	138	165	714	167	50	118	148	120
Mammaliicoccus	26	2045	184	72	156	115	6	17	0	4	41	91	257	39	114	35	16
Variovorax	321	205	153	298	130	175	153	192	280	433	56	115	126	15	101	196	153
Mesobacillus	91	239	120	247	188	187	103	86	34	141	103	243	254	355	261	310	139
Ruminiclostridium	124	174	276	189	217	311	25	94	51	60	71	282	544	130	246	184	105
Caloramator	125	265	266	131	207	288	189	157	76	347	48	119	321	87	158	130	159
Peptoniphilus	273	310	417	151	123	192	91	182	233	257	155	101	133	119	46	69	205
Acetivibrio	120	353	223	149	191	417	168	76	61	130	110	130	247	97	244	168	158
Gallibacterium	12	73	115	99	208	36	52	721	20	49	140	22	62	1	33	5	1385
Sarcina	63	794	974	79	60	98	125	38	1	1	12	9	79	15	648	21	8
Phytobacter	35	59	2802	0	18	14	31	22	14	21	0	2	0	0	4	2	0
Duncaniella	237	249	189	796	217	206	38	272	420	126	5	15	25	102	37	44	35
Pedobacter	113	217	210	602	363	258	12	90	181	179	106	107	206	49	113	71	124
Alicyclobacillus	285	235	159	120	117	218	119	316	284	212	90	65	217	11	118	118	305
Thermophilibacter	248	124	72	22	98	62	201	175	229	500	880	37	82	27	100	56	63
Xanthomonas	255	206	132	216	129	174	158	118	225	402	48	119	269	65	103	157	200
Bosea	245	297	175	124	68	123	101	158	167	376	44	81	163	13	520	253	57
Devosia	523	222	91	91	91	149	206	195	321	295	164	121	167	24	83	55	123
Stenotrophomonas	333	194	112	110	217	154	166	202	140	430	113	134	181	38	159	90	145
Cohcovirus	161	0	0	0	12	0	0	1	0	2572	0	1	1	0	4	139	0
Listeria	111	286	196	181	236	183	49	26	45	25	123	204	425	112	349	177	143
Atlantibacter	73	385	227	58	1081	14	316	186	157	288	0	21	13	0	27	13	10
Cellulomonas	337	160	65	64	95	117	202	212	259	288	272	148	167	30	118	212	82
Brachybacterium	249	165	76	89	189	96	126	130	140	320	127	648	149	69	53	110	78
Chitinophaga	111	266	228	484	285	201	40	116	233	91	93	79	148	39	186	93	81
Desulfitobacterium	422	214	141	92	109	106	108	147	123	85	65	164	270	196	89	315	122
Methylobacterium	298	188	50	80	66	131	89	178	304	320	125	87	249	138	178	120	166
Lysinibacillus	79	174	214	153	165	277	113	42	49	10	127	176	416	205	211	182	146
Erysipelothrix	70	131	276	106	229	226	223	8	30	25	28	355	635	4	246	34	94
Denitrobacterium	106	127	232	75	231	126	182	85	97	328	159	79	140	5	168	486	93
Paramuribaculum	37	242	129	372	104	89	33	340	1076	55	1	20	30	8	75	58	32
Gordonia	296	220	58	89	120	137	173	154	209	546	40	175	118	16	69	168	47
Crassaminicella	41	258	248	151	162	207	324	102	12	3	384	77	257	27	193	94	56
Herbinix	77	174	256	255	199	545	12	20	15	44	66	309	219	80	75	70	174
Azospirillum	437	178	83	88	61	95	236	236	202	347	25	76	96	9	115	109	156
Proteus	52	82	778	106	58	128	50	11	46	1015	42	34	34	15	64	8	19
Desulforamulus	182	156	118	84	75	114	49	190	39	271	105	85	536	174	151	125	82
Proteiniclasticum	314	135	194	90	87	136	72	208	176	425	8	71	129	7	36	25	409
Symmachiella	7	8	0	27	15	8	6	6	8	34	0	15	19	4	2291	28	7
Pseudoprevotella	222	827	162	548	190	71	5	54	127	15	1	3	87	1	56	44	54
Levilactobacillus	66	133	66	65	563	198	25	34	67	23	55	65	529	132	125	235	78
Petroclostridium	219	171	99	68	62	72	26	216	134	426	424	64	137	142	40	64	90
Lysobacter	285	142	100	166	151	103	134	210	361	231	80	74	112	20	92	64	113
Bordetella	226	184	79	178	164	221	100	135	228	278	40	49	113	17	71	143	195
Tannerella	182	383	79	380	312	167	51	189	411	63	4	23	50	21	35	34	35
Duodenibacillus	19	149	140	315	842	349	6	21	132	186	9	20	113	12	15	33	55
Geobacter	249	206	75	118	99	129	134	234	195	519	21	43	103	11	57	43	169
Sphingobium	191	195	107	99	83	137	82	133	263	297	81	95	113	86	111	143	188
Filifactor	83	130	62	57	58	70	3	18	29	33	42	90	145	19	1306	39	214
Priestia	96	127	144	170	158	300	103	72	16	10	92	259	164	193	133	118	207
Buttiauxella	150	59	360	32	36	13	411	199	661	253	16	41	22	28	40	13	14
Capnocytophaga	18	313	159	965	267	110	10	62	80	33	13	48	58	7	71	22	98
Proteiniphilum	87	280	52	470	442	245	15	66	523	15	7	3	12	5	24	8	15
Parascardovia	38	34	13	12	24	13	460	41	17	274	512	5	137	567	89	1	18
Agrobacterium	225	150	142	140	122	193	33	164	164	278	77	90	102	13	92	125	139
Caulobacter	266	129	104	68	80	164	177	170	159	313	46	138	114	20	57	151	93
Afonbuvirus	0	1	0	0	204	1	0	0	0	0	0	930	1	162	0	942	0
Erwinia	95	168	342	247	105	120	169	129	108	239	45	42	107	35	78	82	102
Pseudoalteromonas	166	152	153	150	150	235	14	38	35	35	99	160	158	251	195	97	121
Spirosoma	155	252	170	221	265	124	39	218	124	238	15	57	63	12	75	32	148
