ID	Domain	Phylum	Class	Order	Family	Genus	Species	score	completeness	contamination	strain_heterogeneity	size	N50	cluster_members	FC1	FC2	FC3	FE1	FE2	FE3	FY1	FY2	FY3	MC1	MC2	MC3	ME1	ME2	ME3	MY1	MY2	MY3
Mx_All_33	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Clostridium_AP	s__Clostridium_AP sp000509125	50.5716229369684	50.42	0.39	100.0	1672739	2650	1	1.0131397	0.14900528	0.5838431	0	0	0.11779302	0.069749095	0.024908395	0	0	0	0	0	0	0	0	0	0
Mx_All_34	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides uniformis	50.60606485661354	59.73	2.71	92.31	1915893	7062	1	0.71576476	7.729074	0.28273052	0.3036386	1.0843956	5.728412	4.222807	3.2700515	4.7057753	5.1340714	0.20794238	0.6533464	0.62315774	2.7608614	1.6100783	1.752106	0.9629196	2.2220256
Mx_All_35	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA1417	s__UBA1417 sp003531055	79.75143002629225	81.29	0.84	100.0	1674872	4394	1	0.17536964	0	0	0.38400653	0	0.54769206	0.47981694	0.07158941	0	0	0.83966297	0.46091864	0.6819637	0	0.255806	0	0	0.12545832
Mx_All_36	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira eligens_A	83.04944081452213	96.38	3.69	83.33	2665586	12278	1	0	0	0.14366391	1.3130323	0	4.221138	0.20364928	0.5134628	0.725303	0	0	0.37055576	0.35145438	0.16486539	0.2313345	0	0.28385526	0.9599582
Mx_All_37	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio fairfieldensis	71.23136535003997	74.24	0.95	0.0	1933047	3039	1	0.74516547	0.8189854	0.52241504	0	0	0	0	0	0	0.42207804	0	0.48493752	0	0	0	0	0	0
Mx_All_38	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__KLE1615	s__KLE1615 sp900066985	66.33302594180203	79.09	3.01	16.67	2148011	3824	1	0	0.33010876	0	0.24414004	0.27880543	0	0	0.22974609	0	0	0.20827344	0.188252	0.2651617	0.1668023	0.06533081	0	0.55470324	0.3627467
Mx_All_39	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A massiliensis	52.161572937318965	50.35	0.0	0.0	1558313	4199	1	0	0	0	0.2587926	1.4007462	0.70133626	0.088558376	0	0.96378326	0	0.3109671	0.259875	0.5538958	0.279308	0.30170622	0	0.12753873	1.2273667
Mx_All_4	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__ER4	s__ER4 sp000765235	82.09234953189917	85.57	1.34	100.0	1691055	5817	1	1.5617722	0	0	0.7903937	0	0	0	0.5388729	0	0	0.9285119	0.48361415	1.3034887	0	0.42220083	0	0	0
Mx_All_40	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter faecis	68.80884835447485	93.92	6.18	61.9	2248019	8450	1	0	0	0	0.23371509	1.8183571	0.77790403	0.5393857	0	0	0	0	0	0.22615458	3.9114711	0	0	0	0.6610426
Mx_All_41	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A faecis	78.29459535125116	91.77	3.77	91.67	3044332	6875	1	0.07312367	0.2951957	0.25665322	0.44923952	0.17868342	0.75330806	1.1157072	0.25758636	0.34070903	0	0.43298465	0	0.51886165	0.2641473	0.12396405	0.12587447	0.7687788	0.32390642
