KO	C1	C2	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
K12288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	375.38599999999997	485.475	0.0	441.67199999999997	0.0
K12289	299.656	0.0	28.0954	135.8389	467.2274	0.0	76.5261	0.0	0.0	57.9558	176.8491	128.995
K12292	0.0	0.0	55.219	25.436	0.0	0.0	73.9938	0.0	83.1348	208.06130000000002	0.0	256.6039
K12294	0.0	0.0	0.0	125.943	0.0	0.0	0.0	0.0	0.0	69.7881	0.0	0.0
K12295	0.0	0.0	48.8883	0.0	0.0	45.9057	136.4629	0.0	0.0	101.295	0.0	249.392
K12296	158.5974	0.0	0.0	39.8989	98.1354	51.4548	160.634	0.0	0.0	49.3031	19.6214	284.96999999999997
K12297	98.7122	89.94669999999999	47.507799999999996	473.0704	34.3241	448.4982	45.4648	72.4429	257.53880000000004	684.1164	214.30339999999998	209.15269999999998
K12308	243.25900000000001	0.0	0.0	87.2344	75.283	0.0	530.6555	0.0	0.0	0.0	174.282	0.0
K12340	247.761	0.0	0.0	0.0	0.0	0.0	83.0566	0.0	0.0	0.0	0.0	0.0
K12342	0.0	0.0	0.0	46.0709	0.0	0.0	0.0	0.0	0.0	583.269	0.0	0.0
K12349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.77200000000002	39.5137	47.3503	0.0
K12368	0.0	136.8396	12.3248	810.6426000000001	35.3731	129.7398	17.5298	74.8732	166.3654	1540.1037000000001	370.79580000000004	116.934
K12369	0.0	0.0	0.0	28.3609	0.0	0.0	0.0	0.0	0.0	140.384	0.0	0.0
K12370	0.0	33.4	220.20100000000002	183.82420000000002	0.0	268.9839	0.0	0.0	521.1636	64.6525	713.9078	101.587
K12371	0.0	64.22934	0.0	249.7951	21.2615	741.3796	0.0	0.0	107.9477	135.144	425.02	0.0
K12372	88.1663	69.3683	10.7852	141.9355	0.0	0.0	20.3955	0.0	49.2055	205.1669	44.4811	180.7138
K12373	444.54449999999997	133.6	98.23264999999999	96.95660000000001	380.7971	2735.132	857.4499999999999	16.8734	75.7952	175.4539	41.8354	984.8402
K12410	57.8076	41.9221	40.0364	30.9518	86.8198	663.3013	349.6661	0.0	0.0	279.4037	0.0	347.9454
K12500	0.0	0.0	0.0	58.3164	0.0	0.0	0.0	27.7723	63.8097	96.2749	0.0	0.0
