ID	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.03166	0.01161	2.25488	0.18442	1.40526	0.41111	0.65338	0.01113	0.01847	0.3336	0.42814	0.0	0.0	0.08405	0.0	0.0	0.0	0.01683
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.02175	0.9585	3.02902	3.87398	1.01858	1.75222	1.98471	0.01935	0.34302	0.98059	0.08286	0.0	0.0003	0.01561	0.00063	0.00658	0.0	1.38866
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	0.01197	0.0	0.00769	0.0	0.0	0.06428	0.0	0.12993	0.04126	0.0	0.65939	4.28518	2.16509	0.0	14.13412	5.02078	5.07195	0.21766
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	0.00772	0.089	0.02617	0.02488	0.11303	0.01499	0.06448	0.10145	0.30474	0.42353	0.10475	0.0	0.0	0.00155	0.0	0.00031	1.28651	0.07934
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.00319	0.1239	0.02221	0.0	0.0	0.0	0.0	0.39201	0.00756	0.01547	1.32566	0.0	0.0	0.0	0.0	0.0	0.0	0.04586
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.00155	0.0	0.99559	0.0	0.00051	0.00716	0.31011	0.0	0.0	0.0	0.00094	0.02607	0.06104	0.15407	0.01171	0.0	0.00048	0.00629
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	31.75527	25.50816	6.80056	14.03205	0.02063	2.31971	8.51633	64.85196	43.83537	36.41617	23.42604	0.01644	0.34725	0.25838	0.00664	2.61482	2.0568	0.08511
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	21.41872	0.69844	2.97204	1.33222	0.17511	0.24289	2.07974	2.2685	4.68278	6.62647	3.61313	0.0	0.18278	0.99751	0.0	0.01025	0.28333	0.06452
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	16.68727	4.64739	1.79962	1.67939	4.39139	12.84095	10.38699	0.05925	7.18247	7.22458	7.72952	0.03979	0.11115	0.22774	0.63178	0.0	0.01488	3.47687
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	10.29937	5.17009	18.95187	29.00801	22.33477	27.42969	35.39487	0.00839	0.32029	0.44169	0.40343	68.0739	56.81968	51.58185	66.30848	53.82443	56.50498	35.29743
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	5.87844	15.14347	24.19854	15.99971	13.44027	14.54737	15.77285	6.61981	11.88381	16.75482	16.64157	8.14235	9.91608	8.57019	16.0056	16.5511	13.72863	18.809
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	1.78755	9.51515	4.94607	4.7056	3.61994	3.45678	5.01831	4.71514	1.03041	1.31082	2.35634	0.41311	0.85192	1.22052	0.28447	2.08132	0.48422	3.81797
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	1.5222	0.01428	0.08745	1.57333	0.12777	0.38997	0.08391	0.0	0.00624	0.00467	0.00455	3.16733	9.69281	4.26752	0.34507	1.19802	1.21574	0.24842
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	1.50125	0.79408	2.28289	0.58504	0.26967	0.61564	0.43133	0.01865	0.36043	0.11317	0.27571	0.00111	0.00549	0.00034	0.00028	0.0	0.0	0.01413
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	1.25259	0.80112	1.65207	0.37403	0.17622	0.01859	0.44954	0.00094	0.72031	0.05451	3.97053	0.0	0.0	0.00604	0.0	0.0	0.0	0.00128
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989|f__FGB9989	1.07762	0.36449	0.12654	0.01035	0.0	0.0	0.00369	0.0	0.0	1.09986	0.0	0.0	0.0	0.02882	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012	1.05244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17419
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.54856	0.44214	1.47031	1.92308	0.17007	0.0464	0.67319	11.99502	2.8443	0.00987	0.15811	0.21217	0.20018	0.88081	1.17808	0.18367	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae	0.52506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.51526	0.75512	1.07838	1.07693	0.74454	6.18593	1.48776	0.0	0.02467	0.0097	0.06509	4.7875	4.15765	10.58905	0.87041	0.46712	2.52862	0.35973
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	0.47531	1.40604	1.39695	1.94844	1.8437	1.94075	3.90944	1.21923	1.25368	0.12631	4.70527	1.94558	8.95613	4.03847	0.0	1.42705	8.53098	1.18789
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.43676	0.9449	10.43773	11.92884	40.24197	15.86382	7.14911	0.02318	0.02538	2.72171	0.01326	0.0	0.35504	1.2833	0.0	1.15585	0.44082	0.5159
k__Bacteria|p__Firmicutes|c__CFGB76000|o__OFGB76000|f__FGB76000	0.4328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05109	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae	0.42532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0.34189	0.06913	0.48551	0.51871	0.24076	0.01821	0.15	0.45155	0.02453	0.0	0.89484	0.78032	0.19924	1.98892	0.09751	0.39391	1.60732	0.08572
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.23435	0.5561	1.18626	0.69666	1.37679	1.34215	0.2347	0.25485	0.2712	3.90962	2.21292	0.0	0.0	0.86955	0.0	0.11268	0.00082	0.82678
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	0.15887	0.04667	0.04696	0.01688	0.01202	0.00909	0.0	0.00549	0.03057	0.01935	0.21438	0.07156	0.03259	0.2666	0.00773	0.18105	0.0578	0.0449
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.1073	5.89865	0.0	0.06676	0.0	0.0	0.0	0.0	0.01082	0.04634	0.01736	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068	0.08326	0.14906	0.5337	0.0	0.0	0.01828	0.204	0.08571	0.05341	0.38157	0.8834	0.0	0.01322	0.29441	0.0	0.0	0.0	0.6107
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	0.08281	0.05045	0.00505	0.0	0.0	0.0	0.0	1.40386	0.68515	1.90533	4.32433	0.0	0.0	0.03601	0.0	0.0	0.0	0.07292
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.05691	0.41605	0.9022	2.14321	0.39947	1.36187	1.22362	0.8084	0.03162	0.0	2.31656	5.89487	2.06988	5.38778	0.0	4.56402	1.72331	1.26673
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507|f__FGB1507	0.05623	0.00825	0.02534	0.02129	0.06758	0.02646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35639
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249|f__FGB1249	0.04803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	0.03232	0.0846	0.14525	0.0	0.0	0.00193	0.07951	0.24504	1.12179	1.28481	0.08114	0.0	0.00769	0.32245	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	0.03182	0.0	0.00487	0.01262	0.0	0.07554	0.00686	0.01178	0.0	0.0	0.08796	0.34013	0.15845	0.13398	0.03213	0.21967	0.08324	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.03166	0.01161	0.57061	0.18442	1.40526	0.41111	0.65338	0.0	0.01847	0.3336	0.42814	0.0	0.0	0.08405	0.0	0.0	0.0	0.01683
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	0.03137	0.00294	0.00068	0.0	0.0	0.0	0.2034	0.0	0.0	0.0	0.0	0.0	0.00417	0.00309	0.0	0.0	0.0	0.01252
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	0.02175	0.9585	3.02902	3.87398	1.01858	1.75222	1.98471	0.01935	0.34302	0.98059	0.08286	0.0	0.0003	0.01561	0.00063	0.00658	0.0	1.38866
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae	0.02082	0.06729	0.01113	0.00099	0.0	0.0	0.0	0.0089	0.0154	0.00839	0.05186	0.0	0.0	0.00063	0.0	0.0	0.00232	0.01327
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	0.01197	0.0	0.00769	0.0	0.0	0.06428	0.0	0.12993	0.04126	0.0	0.65939	4.28518	2.16509	0.0	14.13412	5.02078	5.07195	0.21766
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.00833	1.01473	1.76825	1.02339	0.0	0.0	0.0	0.30306	2.1982	0.01122	2.6937	0.0	0.00216	0.19753	0.0	0.01201	0.0	0.60133
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	0.00772	0.089	0.02617	0.02488	0.11303	0.01499	0.06448	0.10145	0.30474	0.42353	0.10475	0.0	0.0	0.00155	0.0	0.00031	1.28651	0.07934
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae	0.00319	0.1239	0.02221	0.0	0.0	0.0	0.0	0.39201	0.00756	0.01547	1.32566	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.00155	0.0	0.98158	0.0	0.0	0.0	0.3059	0.0	0.0	0.0	0.00094	0.0	0.0	0.11383	0.0	0.0	0.0	0.00629
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	31.48258	24.41587	1.73334	1.28471	0.02063	0.10158	0.01815	64.84201	43.83537	32.57584	20.026	0.01644	0.12172	0.25789	0.00664	0.68867	1.46357	0.01799
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	21.22808	0.64988	1.43492	0.79989	0.17511	0.23209	0.60071	2.18054	4.05479	6.62647	3.54312	0.0	0.18278	0.0	0.0	0.01025	0.05896	0.05799
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	10.80293	2.22392	0.85631	0.32251	1.29399	2.67904	2.83898	0.05925	6.77713	3.30262	0.73359	0.01688	0.00597	0.00815	0.17251	0.0	0.0	0.02421
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter	7.43975	1.74657	0.46782	5.1872	2.29593	5.91002	5.29778	0.00288	0.07926	0.0	0.08805	5.95504	5.58161	0.80043	4.97438	4.67046	0.58677	1.39692
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	5.88434	2.42347	0.94331	1.35688	3.0974	10.16191	7.54801	0.0	0.40533	3.92196	6.99594	0.0229	0.10517	0.2196	0.45927	0.0	0.01488	3.45267
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9708	1.87526	2.83489	0.00402	0.11781	0.0	0.0	0.0	0.10188	5.08062	1.08042	8.72482	0.0	0.0	0.0	0.0	0.0	0.0	0.28532
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	1.5038	0.01428	0.07656	0.09619	0.12777	0.38786	0.00522	0.0	0.0	0.0	0.00455	3.16733	9.43671	3.88506	0.34507	1.15533	1.21574	0.24842
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	1.50125	0.79408	2.28289	0.58504	0.26967	0.61564	0.43133	0.01865	0.36043	0.11317	0.27571	0.00111	0.00549	0.00034	0.00028	0.0	0.0	0.01413
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruthenibacterium	1.29169	0.62947	0.03748	0.03332	0.01246	0.00738	0.01728	0.35519	0.19244	0.02937	0.43505	0.0	0.0	0.07771	0.00473	0.0	0.0	0.31579
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9713	1.23948	0.29736	0.32952	0.03273	0.0	0.0	0.00188	0.0	0.06754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00626	0.10682
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified	1.11392	7.4181	0.6326	0.49066	0.61477	0.62206	0.6088	4.71514	0.0057	1.18898	1.61931	0.41311	0.55455	0.35707	0.01919	0.7492	0.15968	0.77038
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas	1.11195	0.55675	1.02737	0.36868	0.0	0.00642	0.42754	0.00094	0.03939	0.02272	3.95766	0.0	0.0	0.0	0.0	0.0	0.0	0.00128
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989|f__FGB9989|g__GGB9712	1.07762	0.36449	0.12654	0.01035	0.0	0.0	0.00369	0.0	0.0	1.09986	0.0	0.0	0.0	0.02882	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012|g__GGB9480	1.05244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17419
