Genus	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
g__GGB80011	0	0	0	0	0	0	0	0.03059	0.48084	3.8981	0	0	0	0.02857	0	0	0.004	0
g__GGB3277	0	0	1.48955	0	0	0	1.47137	0	0	0	0	0	0	0.99165	0	0	0.22379	0
g__GGB79734	0	0.08231	0.1533	0.14169	0.53295	0.24085	0.05788	0.30365	0.00121	0	0.22953	0	0.36198	0.64907	0	0.66034	0.59822	0
g__Sutterella	0	0.01161	0.48236	0.18442	1.40146	0.36581	0.65338	0	0	0.32319	0.42814	0	0	0.08331	0	0	0	0.01683
g__GGB3363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.81744	0
g__GGB33469	0	0.2115	0.02805	0.01523	0	0	0	1.46657	0	0.2332	1.84495	0	0	0	0	0	0	0
g__Faecalicatena	0	0.19051	0.17141	0	1.39948	0.51334	1.06055	0	0.00346	0	0	0	0	0.01331	0	0.33319	0.01598	0
g__GGB9635	0.06663	0.41731	0.1371	0	0	0	0.14245	0	2.54677	0	0.34135	0	0	0	0	0	0	0
g__GGB3256	0	0.06919	0	0	0	0.66354	0.13308	0	0	0.13836	0	0	1.25622	0.65409	0	0.72661	0	0
g__GGB33512	0	0.74195	0	0	0	0	0	0.18049	1.88298	0.01122	0.21311	0	0	0	0	0	0	0.60133
g__Vescimonas	0.52334	0.37093	0.07768	0.1583	0.12804	0	0.07135	0.17402	0.60298	0.38945	0.70516	0	0.01815	0.02953	0	0	0.00205	0.33345
g__Bilophila	0.00329	0.02963	0.51138	0.03075	0.6318	0.06015	0.13527	0.06445	0.03211	1.1732	0.19544	0	0	0.02942	0	0.09959	0.00082	0.57816
g__GGB9710	0	1.68112	0	0	0	0	0	1.78722	0	0	0	0	0	0	0	0	0	0
g__Ruthenibacterium	1.29169	0.62947	0.03748	0.03332	0.01246	0.00738	0.01728	0.35519	0.19244	0.02937	0.43505	0	0	0.07771	0.00473	0	0	0.31579
g__Adlercreutzia	0	0	0.09505	0.29844	0	0	0.00099	0.01006	0.00942	0	0.12209	0	0.09107	1.52301	0	0.05985	1.11683	0.00096
g__GGB9760	0.08326	0.14906	0.5337	0	0	0.01828	0.204	0.08571	0.05341	0.38157	0.8834	0	0.01322	0.29441	0	0	0	0.6107
