KEGG_ko	C1	C2
K02224	895.308	0.0
K02232	297.534	0.0
K02237	803.5310000000001	0.0
K02238	1345.223	0.0
K02316	1862.6419999999998	0.0
K02334	949.555	0.0
K02335	1257.54	0.0
K02337	0.0	850.2860000000001
K02346	1218.19	0.0
K02355	1265.83	0.0
K02377	0.0	879.944
K02405	1276.13	0.0
K02429	774.576	0.0
K02433	760.189	0.0
K02453	1056.89	0.0
K02454	506.395	0.0
K02469	447.72	0.0
K02470	669.178	0.0
K02481	964.76	0.0
K02503	968.22	0.0
K02519	661.9060000000001	0.0
K02527	2590.6499999999996	0.0
K02548	417.218	0.0
K02551	586.0740000000001	0.0
K02556	0.0	2115.13
K02557	1064.35	0.0
K02563	0.0	0.0
K02575	452.955	0.0
K02619	766.7239999999999	0.0
K02652	506.395	0.0
K02687	2901.09	0.0
K02784	0.0	0.0
K02823	1025.91	0.0
K02824	682.4780000000001	0.0
K02835	0.0	850.2860000000001
K02838	1843.94	0.0
K02850	1450.54	0.0
K02860	15647.8	0.0
K02871	4584.73	0.0
K02874	15647.8	0.0
K02876	0.0	0.0
K02879	1595.17	0.0
K02881	0.0	0.0
K02887	997.903	0.0
K02895	0.0	0.0
K02906	616.161	244.601
K02907	966.61	0.0
K02931	1144.26	0.0
K02933	6112.97	0.0
K02945	557.227	113.37899999999999
K02950	4421.64	0.0
K02952	1481.54	0.0
K02961	2899.83	0.0
K02967	669.178	0.0
K02986	1276.13	0.0
K02988	803.967	0.0
K03040	367.224	0.0
K03043	3405.215	0.0
K03046	2563.34	794.3389999999999
K03060	0.0	0.0
K03070	1092.22	0.0
K03076	963.885	0.0
K03086	2197.56	0.0
K03088	0.0	675.627
K03091	1140.28	0.0
K03101	0.0	1289.12
K03111	2113.66	0.0
K03116	1472.94	0.0
K03147	650.9019999999999	0.0
K03148	403.46	98.9787
K03169	2277.889	0.0
K03183	0.0	0.0
K03217	974.553	0.0
K03284	561.717	0.0
K03286	1143.72	0.0
K03297	0.0	1956.81
K03308	1956.255	300.129
K03310	1550.216	0.0
K03312	0.0	0.0
K03315	766.7239999999999	0.0
K03317	460.035	0.0
K03386	631.455	0.0
K03399	736.4680000000001	0.0
K03406	0.0	978.404
K03437	0.0	540.5790000000001
K03438	2356.5200000000004	0.0
K03439	2590.6499999999996	0.0
K03442	1070.21	0.0
K03495	1798.2240000000002	0.0
K03496	0.0	13194.5
K03497	0.0	794.3389999999999
K03517	711.813	0.0
K03521	683.252	0.0
K03523	1335.399	343.588
K03524	1821.03	0.0
K03526	2588.39	0.0
K03527	557.227	113.37899999999999
K03544	594.238	103.77600000000001
K03545	1115.3	0.0
K03546	492.389	0.0
K03547	950.2360000000001	0.0
K03559	1047.95	0.0
K03561	605.9159999999999	0.0
K03569	0.0	0.0
K03574	419.18	0.0
K03587	933.5939999999999	0.0
K03588	550.836	0.0
K03593	9525.28	0.0
K03595	553.486	0.0
K03606	0.0	1371.88
K03616	714.393	0.0
K03628	410.774	0.0
K03640	514.864	0.0
K03650	1395.43	208.97099999999998
K03655	1138.75	0.0
K03657	3177.15	0.0
K03688	0.0	1016.58
K03695	1232.32	0.0
K03701	0.0	2912.5299999999997
K03702	997.903	0.0
K03711	2208.57	0.0
K03723	2791.02	0.0
K03734	974.553	0.0
K03736	838.3589999999999	0.0
K03737	674.33	0.0
K03742	656.768	0.0
K03763	827.9839999999999	0.0
K03777	0.0	823.3560000000001
K03778	570.1419999999999	0.0
K03797	983.0039999999999	0.0
K03823	0.0	2341.55
K03833	0.0	1127.88
K03978	1070.21	0.0
K04019	702.1460000000001	0.0
K04027	1548.76	0.0
K04030	1719.52	0.0
K04041	884.025	0.0
K04042	3324.43	0.0
K04043	1138.75	0.0
K04079	1104.2169999999999	0.0
K04094	1241.749	0.0
K04485	968.22	0.0
K04486	912.062	0.0
K04487	920.069	0.0
K04763	0.0	0.0
K05515	0.0	2322.06
K05592	1933.22	0.0
K05601	553.486	0.0
K05837	0.0	3162.24
K05896	0.0	1079.78
K05936	1064.8	0.0
K05966	642.127	0.0
K05970	604.186	0.0
K06076	692.928	963.204
K06147	931.992	0.0
K06176	0.0	0.0
K06187	783.0239999999999	0.0
K06190	0.0	1307.9
K06207	404.598	0.0
K06287	4765.73	0.0
K06894	711.7669999999999	0.0
K06921	353.86400000000003	0.0
K06926	1310.66	0.0
K06958	0.0	552.405
K06959	1552.463	0.0
K06960	1104.29	0.0
K06978	0.0	880.7180000000001
K06988	2078.78	0.0
K07001	2061.49	0.0
K07030	857.077	0.0
K07037	933.5939999999999	0.0
K07052	686.4860000000001	0.0
K07056	9884.13	0.0
K07085	0.0	0.0
K07091	697.716	0.0
K07126	1390.1280000000002	0.0
K07139	616.161	0.0
K07160	2221.663	0.0
K07173	819.1010000000001	0.0
K07243	949.373	0.0
K07258	934.7139999999999	0.0
K07386	0.0	523.467
K07456	952.5239999999999	0.0
K07458	0.0	3269.76
K07459	1207.88	182.27599999999998
K07462	0.0	518.729
K07485	920.1160000000001	0.0
K07496	3275.7470000000003	150.91899999999998
K07712	1372.97	0.0
K07718	1104.29	0.0
K07720	736.4680000000001	0.0
K07729	0.0	808.289
K07795	887.331	0.0
K08301	600.456	0.0
K08363	0.0	2115.13
K08365	0.0	2549.997
K08483	856.17	0.0
K08994	0.0	1204.27
K09125	1395.43	0.0
K09458	631.447	0.0
K09650	1092.22	0.0
K09729	1469.48	0.0
K09765	774.576	0.0
K09769	1182.46	0.0
K09772	1044.03	0.0
K09800	523.2869999999999	0.0
K09802	0.0	0.0
K09825	2208.57	0.0
K09883	0.0	1556.19
K09903	4955.17	0.0
K10778	734.448	0.0
K11085	931.992	0.0
K11105	3177.15	0.0
K11177	0.0	1318.83
K11189	0.0	0.0
K11707	604.186	0.0
K11928	1018.69	103.77600000000001
K12267	787.822	0.0
K12308	604.186	0.0
K12373	295.433	0.0
K12573	767.6410000000001	0.0
K12574	1138.75	0.0
K12942	933.5939999999999	0.0
K13583	0.0	0.0
K13653	2901.09	0.0
K14260	0.0	0.0
K15125	546.849	0.0
K15986	856.17	0.0
K15987	0.0	644.4119999999999
K16089	541.41	0.0
K16153	656.676	0.0
K16786	734.448	0.0
K16787	734.448	0.0
K16950	693.279	0.0
K16951	0.0	0.0
K17828	2457.3	0.0
K18012	635.064	0.0
K18013	647.096	0.0
K18014	0.0	0.0
K18586	0.0	607.38
K18682	800.321	0.0
K18707	683.252	0.0
K19157	638.066	0.0
K19268	866.42	0.0
K19504	1138.75	0.0
K19577	0.0	1870.88
K20903	646.9169999999999	0.0
K20997	0.0	1371.88
K21498	1290.09	0.0
K21572	436.88699999999994	0.0
K22010	817.331	0.0
K22132	0.0	0.0
