COG_category	Cooling	Mature	Mesophilic	Thermophilic
FL	1494.1625	1201.643	468.054	1097.357
FM	1.25	1	8.63775	28.24725
FO	21.60825	3.5	35.5925	109.17625
FP	5499.8275	5105.4895	5213.4705	3710.31875
FPT	8.5	2.25	0.5	0
FQ	19.7775	21.94675	24.25	5.1715
FT	8.25	11.5	7.93175	0.75
FY	3.25	9.25	0.25	0
G	777845.1925	744317.416	699319.4073	967837.5433
GH	105.044	155.3965	1001.67675	11.25
GHM	5.75	4.3555	126.23075	7.25
GI	31.24525	10.25	47.86775	477.12125
GIM	108.703	42.51175	116.339	103.7405
GIQ	209.85925	31.8205	27.75	401.08525
GIV	5.75	0	0	0
GJ	33.25	3.5	5.8505	9.7675
GJM	1244.70475	320.02175	533.995	3132.436
GK	9285.999	8285.03775	12363.847	13863.4745
GKLMT	20.6045	0.70875	0	7.75
GKLT	0.25	7.66725	0	0
GKQ	5	0	66.236	7.11225
GKT	827.6345	418.661	3955.165	3104.063
GL	293.72525	267.6165	41.22175	164.365
GM	53710.0015	52123.02	36171.03925	29194.762
GMN	222.65425	17.215	4.5	52.3035
GMNQU	0	10.14625	0	0
GMO	62.485	197.76025	58.11025	1.75
GMOU	134.9845	264.371	10.5	9.25
GMPQ	1.25	12.718	1	0
GMQ	12.595	25.29225	4.5	0.5
GMT	3.25	1.75	48.1705	120.7355
GMU	0.75	0	0	0
GMV	4.74925	7	0.5	1.27375
GMW	2.75	3.4825	0	0
GN	912.276	690.574	1587.85425	1183.65025
GNT	132.39725	14.552	24	326.508
GNU	0	1.25	0	0
GO	2202.2775	919.77625	70.819	62.4575
GOQ	6.41025	25	1.25	0
GOT	41.03075	97.11075	1.75	1.25
GOU	7	7.25	0.25	0.5
GP	605.5985	704.7775	36.5605	149.8035
GPT	0	0.75	0	0
GPU	7.84975	4.31525	1.25	0
GQ	176.348	384.885	136.5895	29.787
GT	3130.93575	1952.682	4539.70975	3214.95475
GU	29.428	101.6225	0.5	0.75
GUW	230.84075	180.67625	23.5	0.75
GV	723.3505	804.55375	167.43125	80.83
H	520319.9028	473888.1098	406432.1318	534890.6643
HI	1245.06775	705.3085	749.757	795.0275
HIQ	0	4	0	0
HJ	12874.996	9541.124	11747.92425	31435.111
HJK	611.21	565.36925	168.757	88.17175
HJM	1133.4765	984.35375	988.01375	1176.502
HJO	105.40975	59.92525	8	3
HK	1537.09325	1337.582	902.56475	2521.8185
HKLT	8.21175	1.75	7.75	1
HKT	7.25	6.25	1	7.75
HL	731.44325	478.50425	38.78675	127.3175
HLP	6.787	0	2.25	1.75
HLT	18.61575	9.5	0	0
HM	916.37325	697.918	47.25275	6.75
HMU	2.189	2.291	0.25	3
HO	12.25	44.1235	3.25	1.75
HP	12098.14625	11157.94925	5771.2555	10254.127
HPT	149.45525	89.7175	4.8775	0
HQ	1711.544	1303.754	2450.37675	3841.13725
I	409562.2015	389524.8365	307586.576	374062.26
IJ	51.65325	95.518	12.25	0
IJM	542.018	134.14125	241.4275	1567.1325
IJT	38.83725	30.43525	11.25	0
IK	192.3745	358.1595	39.726	4.75
IKOT	7.75	7.25	0.75	0.5
IKT	16.2115	17.14625	12.75	0.75
IL	11.8035	8.42775	0.75	10.86975
IM	6697.98625	5999.781	3694.93275	6447.42225
IMO	12.5	22	4.25	0.75
IMQ	0.25	0.75	0	0
IMU	0.5	0	0.5	0
IMV	4.72375	0.75	0.13675	0.75
IN	954.6465	341.2925	207.5495	288.5975
IO	11.21925	14.7755	2.25	0.75
IOQU	0.25	2.869	0	0
IOT	19.7515	19	1	0.75
IP	107.303	94.98575	15.24475	10.86325
IQ	113057.8855	107253.7493	85156.597	107557.905
IQT	0.75	28.80325	5.4445	0.5
IQU	336.686	83.95975	3	0
IT	316.2705	381.16075	122.5925	9.0185
ITU	1.5	1	0	0
IU	6097.5125	4735.9015	718.3065	1676.89075
IV	6.77625	0.75	1.11325	0.5
IZ	5.2955	1.25	0	0
J	724514.1525	651886.7328	667036.8715	853039.529
JK	365.8095	415.2615	253.3105	859.461
JKL	5605.48675	3969.10675	7762.1835	3832.952
JL	122.25625	112.26525	269.563	81.451
JM	6013.056	5870.6745	3459.4315	4806.71675
JMQU	278.403	113.46575	97.578	3.638
JMU	7.5485	4.8555	0	0
JO	12	17.25	0	0.25
JOU	32.1335	1.25	0	25.5
JP	9.75	1	3.25	30.79075
JPQ	0.75	3.75	0.25	0
JQ	7.5	3.25	5.75	0.25
JT	10.25	15.75	2	0
JU	6	9.25	7.25	0.75
JUY	20.5	15.75	8.25	0
K	568712.0875	508496.1335	661500.745	770402.2333
KL	21947.20325	15888.817	18471.76375	23651.941
KLMT	25.75	51.62225	2	0.5
KLNT	3	0	0	0
KLNTU	0.25	0	0.25	0
KLO	107.212	98.1475	20	30.30975
KLOT	36.5	25	2.75	2
KLPT	28.75	13	0.25	0
KLT	77901.112	83752.24075	19364.639	31917.594
KLTU	506.41875	1117.93575	20.8545	30.25
KLTV	57.80875	12.927	2	17.75
KLV	73.18825	40.75375	5.5	3.5
KM	31.18525	37.31875	9.369	1
KMO	1	0	0	0
KMT	208.67275	838.108	374.7675	383.8005
KMTU	0.75	0.5	1	3.75
KNT	472.26575	243.02175	29.9675	16.217
KNTU	5.1325	5.1925	0.5	0
KNU	375.41175	157.226	292.1695	686.5195
KO	729.59975	807.448	1168.40725	1069.68575
KOT	745.833	629.209	978.581	1346.43275
KP	151.00225	151.34275	37.21025	113.97725
KPT	78.43875	42.147	1	15
KQ	2395.605	1896.83325	4696.2475	5286.056
KT	69817.726	60472.51425	60317.983	109750.5323
KTU	73.69875	102.78925	16	6.75
KTV	21.5255	4.25	22.5	32.77525
KU	1983.837	876.95	103	603.64625
KV	19.0655	2.5	30.355	4.47525
L	1312297.854	1045411.348	1766783.368	2173672.709
LM	385.23625	183.1205	3310.979	286.527
LMNU	85.123	229.8885	4.17925	4.24175
LN	52.25	10.52575	9.18775	0.25
LNU	57.10875	126.004	5.5	0
LO	4201.929	3178.80275	6931.41425	11838.035
LP	163.04925	66.613	0.75	0
LT	196.26125	173.10875	43.799	27.84925
LU	4725.12425	3772.38875	4565.9515	6440.0595
LV	3367.91925	1626.6005	2922.5345	2681.1145
M	1165265.591	1215929.974	813161.0743	983285.7555
MN	313.51675	183.426	56.9215	107.70825
MNO	437.81025	300.74325	168.81125	642.63825
MNOQ	3.75	15.66875	0.5	0
MNOU	410.917	346.0855	34.41725	127.1315
MNU	772.063	1006.103	347.4595	398.35375
MNUV	0	1	0.25	0.75
MO	891.98	655.99	124.47725	399.82
MOP	15.3755	8.317	0.25	0
MOQ	69.2865	244.98325	38	4
MOT	107.0265	90.86675	29.482	41.956
MOU	1.5995	4	0.25	0
MP	2883.8485	3213.7885	298.39525	256.99725
MPT	11	13.6175	0	0
MPU	170.30775	243.31825	11.5855	0.25
MQ	1315.874	1576.80175	275.57125	757.15725
MQU	399.50175	1088.479	28.2195	0.75
MT	940.8765	827.26675	455.24775	2401.9875
MTU	3.25	9.31625	0.5	0
MU	47916.01675	60586.88225	16532.535	17450.17625
MUW	781.569	1986.47925	65.92475	6
MV	1625.87825	1283.107	542.3065	1206.0065
MW	29.5	16	12.25	0
N	150472.51	118034.5235	104119.864	212894.562
NO	1320.089	16066.1735	300.61	260.47
NOT	180.6115	43.75	2404.32575	1845.1875
NOU	3739.907	2870.6795	5295.96725	6292.07775
NP	142.6255	69.274	8.759	22.70925
NPT	118.39925	251.354	12.70375	99.192
NPTU	547.589	582.357	618.30225	18.88675
NPU	0	1	1.5	0
NQ	13.564	16.5	9.7445	6.75
NQU	1.25	0.5	0	0
NT	56404.8325	36531.93475	71905.95425	132898.584
NTU	168.9245	57.951	123.5605	542.21975
NU	124239.3785	122225.296	64669.099	59200.52275
NUV	20.9345	4.446	1	1.5
NV	0	0.75	1.443	2.75
O	556771.9248	541262.565	352044.55	478935.5785
OP	1089.78925	382.862	1164.13775	1680.0535
OPTVW	0.75	0	0	0
OPU	10.25	11.75	3	0.25
OQ	716.1615	1270.023	95.345	7.31
OT	3743.87825	3666.2495	632.66225	518.52125
OTU	13	17.25	3	0
OU	18111.267	14952.0375	12644.67425	21726.5565
OV	82.3475	79.627	11.31625	0.75
OVW	0	1.5	0	0
OW	36.20475	32.60175	4	16.74625
P	841273.203	781320.2315	666740.216	802016.9855
PQ	923.992	901.06925	574.59825	550.549
PQV	0	0	0	10.9125
PT	14571.16275	12628.298	2446.8195	570.57375
PU	37.4735	44.982	8.21175	2
PV	36.525	23.17775	3	1.68525
PZ	0	0.75	0.934	0
Q	233053.9615	238725.8108	109424.8528	124477.274
QT	2002.41375	1348.49175	5347.7305	6829.98325
QU	7694.041	4678.46175	451.907	902.207
QUW	2.25	21.428	2	0
QV	47.076	44.1305	9.95275	2.76675
S	2480868.556	2330101.872	2380581.217	2968697.777
T	640988.4583	642052.6788	350393.1165	463301.8718
TU	887.64625	746.10525	152.72225	130.08125
TUZ	4.5	4	1.5	0
TV	924.98375	538.899	39.75	7.25
TW	27.75	39.41275	6	0.5
TZ	127.2475	153.91125	95.669	3
U	264703.3315	296542.7483	203551.8813	204122.8323
UW	8650.81125	14738.3445	2615.0505	4289.178
UY	293.928	354.03975	234.96025	9.25
UZ	20.7725	22.293	15.75	0.25
V	397905.4538	340945.5113	328905.2358	398288.956
VW	10.97775	72.5955	12	0.5
W	216.4655	422.2235	23.3405	36.45375
Y	24.16	24.93525	4.5	0.25
Z	2478.1025	2211.845	596.99	199.232
